source,target,lag
ADAMDEC1,C1QA,0
ADAMDEC1,HMGN3,0
ADAMTS14,CXCL6,0
ADGRG3,ENTPD3,0
ADGRG3,MMP8,0
ALPL,FLT1,0
APOL2,APOL6,0
APOL2,FBLN2,0
APOL6,GBP3,0
AREG,PDZD4,0
ARHGEF10,BEX2,0
ATP9A,NR2E1,0
ATP9A,TRPM2,0
ATP9A,YES1,0
BEX2,RNF182,0
BMX,ADGRG3,0
BMX,FAM167B,0
BMX,LYPD8,0
BMX,VNN1,0
C1QA,ADAMDEC1,0
C1QA,CCR4,0
CCR3,CPA3,0
CCR3,GBP3,0
CHRNE,AHDC1,0
CHRNE,RNU6-1188P,0
CLDN7,EPX,0
CLDN7,EREG,0
CLDN7,GPR15,0
CLDN7,HMGN3,0
CLTCL1,ADAMTS14,0
CLTCL1,CXCL6,0
COL11A1,CLNK,0
COL11A1,FGFBP2,0
CPA3,DENND5B,0
CPA3,EPX,0
CRISPLD2,DLG5,0
CRISPLD2,IL18R1,0
CST7,CXCL6,0
CTLA4,FAM185A,0
CXCL6,NBL1,0
DDB1,SPDYA,0
DDX60,HSH2D,0
DDX60,PCDH1,0
DENND5B,C1QA,0
DHX58,OAS2,0
DHX58,OASL,0
DHX58,TRIM14,0
DSCC1,ZFPM2,0
DYSF,PGLYRP1,0
EIF2AK2,FAM216B,0
EIF2AK2,KCTD14,0
EIF2AK2,RNF213,0
EIF2AK2,TRIM6,0
ENTPD3,DYSF,0
ENTPD3,KCNH7,0
ENTPD3,PGLYRP1,0
ENTPD3,VNN1,0
EPX,CPA3,0
EPX,PDZD4,0
EQTN,LEPR,0
EQTN,YEATS4,0
EREG,AREG,0
FADS3,NR6A1,0
FAM216B,OAS3,0
FAM216B,RNF213,0
FAM216B,SIGLEC1,0
FAM216B,TMPRSS2,0
FBLN2,FZD4,0
FBLN2,Metazoa_SRP,0
FBLN2,NR6A1,0
FBXO39,SIGLEC1,0
FGFBP2,NTRK1,0
FGFBP2,RORA,0
FLT1,IGHM,0
FLT1,JCHAIN,0
FLT1,MARCO,0
FOSB,SIK1,0
GPR15,JCHAIN,0
GPR15,PDZD4,0
GZMB,U3,0
HERC5,HSH2D,0
HERC5,TENM1,0
HMGN3,CLDN7,0
HMGN3,DENND5B,0
HMGN3,EQTN,0
HMGN3,GPR15,0
HMGN3,LEPR,0
HMGN3,YEATS4,0
HSH2D,TRIM6,0
IFI27,U3,0
IFI44,CLNK,0
IFI44,IFI27,0
IFI44,ISG15,0
IFI44,TENM1,0
IFI44L,COL11A1,0
IFI44L,GZMB,0
IFI44L,HERC5,0
IFI44L,IFI44,0
IFI6,GZMB,0
IFIT2,MX1,0
IFIT2,RIGI,0
IFIT3,IFI44L,0
IFIT3,IFIT2,0
IGHM,CDKN1C,0
IGHM,FLT1,0
IL18R1,CABLES2,0
