source,target,lag
ADAMDEC1,CDKN1C,0
ADAMDEC1,HMGN3,0
ADAMTS14,NBL1,0
ADGRG3,BMX,0
ADGRG3,CRISPLD2,0
APOL2,BCL2L14,0
APOL6,GBP3,0
APOL6,KCNMA1,0
AREG,CTLA4,0
ARHGEF10,BEX2,0
ATP9A,FLT1,0
ATP9A,NR2E1,0
BCL2L14,APOL6,0
BCL2L14,PAK3,0
BCL2L14,SPP1,0
BMX,LYPD8,0
BMX,S100A12,0
BMX,VNN1,0
CCR3,EPX,0
CCR3,SPDYA,0
CDKN1C,FLT1,0
CHRNE,RNU6-1188P,0
CLC,CCR3,0
CLC,SLC16A1,0
CLDN7,KCNMA1,0
CLDN7,PDZD4,0
CLTCL1,CXCL6,0
CPA3,PDZD4,0
CRISPLD2,CHRNE,0
CRISPLD2,CSGALNACT1,0
CRISPLD2,IL18R1,0
CRISPLD2,MMP1,0
CRISPLD2,MMP9,0
CRISPLD2,RNU6-1188P,0
CSGALNACT1,ADGRG3,0
CSGALNACT1,CLTCL1,0
CSGALNACT1,CRISPLD2,0
CSGALNACT1,IL18R1,0
CST7,OLFM4,0
CST7,PLAU,0
CTLA4,EREG,0
DDB1,SLC16A1,0
DDX60,IFI44,0
DDX60,IFI6,0
DDX60,ISG15,0
DDX60,USP18,0
DENND5B,CCR4,0
DENND5B,CPA3,0
DLG5,PLCD3,0
DSCC1,CLC,0
DSCC1,LAPTM4B,0
DYSF,ALPL,0
DYSF,ANPEP,0
DYSF,PGLYRP1,0
EIF2AK2,DHX58,0
EIF2AK2,RNF213,0
ENTPD3,ANPEP,0
ENTPD3,DYSF,0
ENTPD3,IL18R1,0
ENTPD3,LYPD8,0
ENTPD3,PGLYRP1,0
ENTPD3,TRPM2,0
ENTPD3,VNN1,0
EPX,CCR3,0
EREG,MT-ND2,0
EREG,SIK1,0
FAM167B,PRSS33,0
FAM216B,LGALS3BP,0
FAM216B,OAS3,0
FAM216B,SIGLEC1,0
FBLN2,Metazoa_SRP,0
FBLN2,NR6A1,0
FBLN2,SPP1,0
FGFBP2,CTLA4,0
FGFBP2,FAM185A,0
FGFBP2,RORA,0
FGFBP2,TRDC,0
GBP3,APOL6,0
GBP7,APOL2,0
GBP7,APOL6,0
GLI1,IGHM,0
GZMB,FGFBP2,0
GZMB,PRF1,0
HMGN3,ADAMDEC1,0
HMGN3,LEPR,0
HSH2D,FIGLA,0
HSH2D,TRIM6,0
IFI27,U3,0
IFI27,XAF1,0
IFI44,ISG15,0
IFI44,PRF1,0
IFI44L,IFI44,0
IFI44L,IFIT3,0
IFI44L,RIGI,0
IFI44L,USP18,0
IFI6,GZMB,0
IFI6,IFI44,0
IFI6,PCDH1,0
IFIT2,IFI27,0
IFIT2,OAS1,0
IFIT3,IFI27,0
IFIT3,IFIT2,0
IFIT3,OAS1,0
IGHM,GLI1,0
IL18R1,ADGRG3,0
IL18R1,CHRNE,0
IL18R1,CSGALNACT1,0
IL18R1,ENTPD3,0
IL18R1,MMP1,0
IL18RAP,ALPL,0
IL18RAP,VNN2,0
IRF7,PAK3,0
ISG15,DDX60,0
ISG15,IFI44L,0
ISG15,IFIT2,0
ISG15,MX1,0
JCHAIN,LEPR,0
JCHAIN,MARCO,0
JCHAIN,YEATS4,0
KCNH7,FAM167B,0
KCNH7,FLT1,0
KCTD14,NGFR,0
LEPR,LAPTM4B,0
LYPD8,KCNH7,0
LYPD8,TP53I11,0
MCEMP1,BMX,0
MCEMP1,IL18RAP,0
MCEMP1,VNN2,0
MMP1,CABLES2,0
MMP1,FIGLA,0
MMP10,IL18RAP,0
MMP8,CST7,0
MMP8,OLFM4,0
MMP9,ADAMTS14,0
MMP9,CRISPLD2,0
MMP9,MMP1,0
MMP9,PGLYRP1,0
MMP9,PLCD3,0
MT-ND2,DENND5B,0
MX1,DDX60,0
MX1,HERC5,0
MX1,IFI44L,0
MX1,ISG15,0
MX1,OAS1,0
MX1,OAS2,0
MX1,RIGI,0
MX1,USP18,0
MX2,DHX58,0
MX2,OASL,0
MX2,TMPRSS2,0
Metazoa_SRP,CYP4F22,0
NGFR,KCTD14,0
NR2E1,KCNH7,0
NR2E1,ZNF423,0
NR6A1,SLC16A1,0
NTRK1,FAM185A,0
OAS1,U3,0
OAS1,XAF1,0
OAS2,DHX58,0
OAS2,EIF2AK2,0
OAS2,TRIM14,0
OAS3,AHDC1,0
OAS3,HSH2D,0
OAS3,LGALS3BP,0
OAS3,SIGLEC1,0
OAS3,TMPRSS2,0
OASL,EIF2AK2,0
OASL,MX2,0
OASL,XAF1,0
ORM1,CLTCL1,0
ORM1,FIGLA,0
ORM1,VNN1,0
PDZD4,CCR4,0
PDZD4,CLDN7,0
PLAU,MARCO,0
PLCD3,NBL1,0
PLCD3,ZNF423,0
PML,AHDC1,0
PML,RNF213,0
PRF1,FGFBP2,0
PRSS33,BEX2,0
RIGI,COL11A1,0
RIGI,FGFBP2,0
RIGI,IFI44L,0
RNF182,FAM167B,0
RNF213,FAM216B,0
RNF213,LGALS3BP,0
RNF213,NGFR,0
RNF213,PML,0
RNF213,TRIM6,0
S100A12,S100A8,0
S100A8,FZD4,0
S100A8,S100A12,0
S100A8,YES1,0
S100A9,BMX,0
S100A9,MMP10,0
S100A9,ORM1,0
S100A9,VNN1,0
S100A9,VNN2,0
SIGLEC1,RNF213,0
SIK1,EREG,0
SIK1,KCTD14,0
SLC16A1,DSCC1,0
SLC16A1,SPDYA,0
SPDYA,ARHGEF10,0
SPDYA,CLC,0
TENM1,FBXO39,0
TMPRSS2,OAS3,0
TRDC,ZFPM2,0
TRIM14,EIF2AK2,0
TRIM14,FBXO39,0
TRIM6,IL2RA,0
TRIM6,PAK3,0
TRPM2,ANPEP,0
TRPM2,CST7,0
TRPM2,DYSF,0
TRPM2,MMP8,0
TRPM2,NR2E1,0
USP18,IFIT3,0
VNN1,LANCL3,0
VNN1,ORM1,0
VNN2,S100A12,0
XAF1,GBP7,0
YEATS4,FADS3,0
ZFPM2,CCR3,0
ZFPM2,CLC,0
ZNF423,FADS3,0
ADAMDEC1,MMP8,1
ADAMDEC1,U3,1
ALPL,BEX2,1
ANPEP,EQTN,1
APOL2,ARHGEF10,1
ARHGEF10,CABLES2,1
ARHGEF10,PLAU,1
BEX2,ALPL,1
BEX2,ANPEP,1
BEX2,RORA,1
BEX2,ZNF423,1
C1QA,ADGRG3,1
CABLES2,C1QA,1
CABLES2,CLTCL1,1
CABLES2,DDB1,1
CABLES2,FZD4,1
CABLES2,Metazoa_SRP,1
CABLES2,PRSS33,1
CDKN1C,C1QA,1
CDKN1C,CABLES2,1
CDKN1C,CSGALNACT1,1
CDKN1C,HMGN3,1
CLC,TRDC,1
COL11A1,HSH2D,1
CSGALNACT1,ZFPM2,1
CTLA4,AREG,1
CTLA4,FAM167B,1
CTLA4,FGFBP2,1
CTLA4,GLI1,1
DDB1,CLC,1
DDB1,DSCC1,1
DDB1,IRF7,1
DDB1,MT-ND2,1
DDB1,ZNF423,1
DENND5B,LANCL3,1
DENND5B,SPDYA,1
DSCC1,KCNH7,1
EPX,CDKN1C,1
FAM167B,CLNK,1
FAM167B,NBL1,1
FAM185A,PRSS33,1
FAM185A,RNF182,1
FBXO39,ADAMTS14,1
FBXO39,DENND5B,1
FLT1,JCHAIN,1
GBP7,LANCL3,1
GLI1,CDKN1C,1
GPR15,ADAMDEC1,1
GPR15,CABLES2,1
GPR15,EPX,1
IGHM,HERC5,1
IGHM,PCDH1,1
IGHM,RNU6-1188P,1
IL2RA,ATP9A,1
IL2RA,CCR3,1
IL2RA,ENTPD3,1
IL2RA,GPR15,1
IL2RA,MMP9,1
IRF7,DLG5,1
JCHAIN,COL11A1,1
JCHAIN,CXCL6,1
JCHAIN,IFI44,1
JCHAIN,IFIT3,1
JCHAIN,RSAD2,1
KCTD14,MT-ND2,1
KCTD14,TP53I11,1
LANCL3,CLDN7,1
LANCL3,FBLN2,1
LANCL3,FIGLA,1
LANCL3,KCNMA1,1
LANCL3,Metazoa_SRP,1
LEPR,ALPL,1
LGALS3BP,PLAU,1
NBL1,ADGRG3,1
NBL1,CHRNE,1
NBL1,CRISPLD2,1
NBL1,CSGALNACT1,1
NBL1,DLG5,1
NBL1,ENTPD3,1
NBL1,IL18R1,1
NBL1,LANCL3,1
NBL1,LYPD8,1
NGFR,FADS3,1
NGFR,FBLN2,1
NGFR,NR6A1,1
NGFR,YEATS4,1
NR6A1,APOL2,1
NR6A1,RNU6-1188P,1
NTRK1,DDB1,1
NTRK1,FZD4,1
ORM1,EPX,1
PAK3,ORM1,1
PLCD3,MCEMP1,1
RNF182,PAK3,1
RNF213,MCEMP1,1
RNF213,S100A9,1
RORA,AHDC1,1
RORA,CLNK,1
RORA,DENND5B,1
RORA,DHX58,1
RORA,DLG5,1
RORA,EIF2AK2,1
RORA,EQTN,1
RORA,FBXO39,1
RORA,IFI44L,1
RORA,IFIT2,1
RORA,ISG15,1
RORA,KCTD14,1
RORA,NR6A1,1
RORA,OAS3,1
RORA,OASL,1
RORA,PLCD3,1
RORA,RIGI,1
RORA,RNF213,1
RORA,SIGLEC1,1
RORA,SIK1,1
RORA,TENM1,1
RORA,TRIM14,1
RORA,TRIM6,1
RSAD2,CLNK,1
RSAD2,IFI27,1
SLC16A1,FADS3,1
SPDYA,ARHGEF10,1
SPDYA,BEX2,1
SPDYA,U3,1
TMPRSS2,GBP7,1
TRDC,COL11A1,1
TRDC,FOSB,1
TRDC,MX2,1
TRDC,PRF1,1
TRDC,RSAD2,1
TRIM6,ENTPD3,1
TRIM6,MMP9,1
TRIM6,TRPM2,1
U3,CXCL6,1
U3,NGFR,1
YES1,DLG5,1
ZFPM2,CTLA4,1
ZNF423,FBLN2,1
ZNF423,MCEMP1,1
ZNF423,VNN2,1
ADAMTS14,AREG,2
ADAMTS14,DDB1,2
ADAMTS14,RNF182,2
AREG,CTLA4,2
AREG,NR2E1,2
AREG,NTRK1,2
ARHGEF10,APOL6,2
ARHGEF10,BMX,2
ARHGEF10,DYSF,2
ARHGEF10,EREG,2
ARHGEF10,GBP3,2
ARHGEF10,GZMB,2
ARHGEF10,KCNMA1,2
ARHGEF10,KCTD14,2
ARHGEF10,MARCO,2
ARHGEF10,NGFR,2
ARHGEF10,NTRK1,2
ARHGEF10,RNF182,2
ARHGEF10,S100A9,2
ARHGEF10,SIK1,2
ARHGEF10,TP53I11,2
ARHGEF10,YES1,2
BCL2L14,APOL2,2
BCL2L14,EQTN,2
BEX2,CHRNE,2
BEX2,EQTN,2
BEX2,FBXO39,2
BEX2,FOSB,2
BEX2,GZMB,2
BEX2,HERC5,2
BEX2,HSH2D,2
BEX2,IFIT2,2
BEX2,IRF7,2
BEX2,LEPR,2
BEX2,MX2,2
BEX2,NR6A1,2
BEX2,OAS2,2
BEX2,OAS3,2
BEX2,OASL,2
BEX2,SLC16A1,2
BEX2,SPP1,2
BEX2,TENM1,2
BEX2,TMPRSS2,2
BEX2,TRIM14,2
BEX2,YEATS4,2
BEX2,YES1,2
BMX,RORA,2
CABLES2,FZD4,2
CDKN1C,CPA3,2
CDKN1C,DYSF,2
CDKN1C,OLFM4,2
CDKN1C,ZFPM2,2
CLC,HERC5,2
CLC,MX2,2
CLC,OAS1,2
CLC,OAS2,2
CLC,OASL,2
CLC,PRF1,2
CTLA4,CLNK,2
CTLA4,DDB1,2
CXCL6,ATP9A,2
CXCL6,CST7,2
CXCL6,DSCC1,2
CXCL6,LYPD8,2
CXCL6,NTRK1,2
CXCL6,TRPM2,2
DENND5B,ATP9A,2
DYSF,CYP4F22,2
DYSF,GBP3,2
FAM167B,ADAMDEC1,2
FAM167B,EREG,2
FAM167B,HMGN3,2
FAM167B,IRF7,2
FAM167B,TRIM6,2
FAM185A,FOSB,2
FAM185A,GBP7,2
FAM185A,PLCD3,2
FGFBP2,LGALS3BP,2
FIGLA,ARHGEF10,2
GBP3,RORA,2
GLI1,MMP8,2
GLI1,OLFM4,2
GLI1,PGLYRP1,2
GPR15,HMGN3,2
GPR15,LAPTM4B,2
IGHM,HSH2D,2
IGHM,IFI6,2
IGHM,MMP1,2
IGHM,OAS2,2
IGHM,RSAD2,2
IGHM,TENM1,2
IL18RAP,IGHM,2
IL18RAP,ORM1,2
IL18RAP,S100A9,2
LANCL3,LAPTM4B,2
LANCL3,MARCO,2
LANCL3,PRSS33,2
LGALS3BP,FAM167B,2
NBL1,ATP9A,2
NBL1,CCR4,2
NBL1,CPA3,2
NBL1,CYP4F22,2
NBL1,IGHM,2
NBL1,IL18RAP,2
NBL1,PDZD4,2
NBL1,S100A9,2
NBL1,YES1,2
NGFR,CDKN1C,2
NGFR,ZFPM2,2
NR6A1,AHDC1,2
NR6A1,CPA3,2
NR6A1,GPR15,2
NR6A1,PML,2
NR6A1,SIGLEC1,2
ORM1,FLT1,2
ORM1,IL2RA,2
PAK3,CLDN7,2
PAK3,CYP4F22,2
PAK3,EPX,2
PRSS33,NBL1,2
RORA,ADAMTS14,2
RORA,BCL2L14,2
RORA,C1QA,2
RORA,CLTCL1,2
RORA,CST7,2
RORA,DENND5B,2
RORA,FBLN2,2
RORA,MCEMP1,2
RORA,MMP10,2
RORA,NR2E1,2
RORA,PLAU,2
RORA,S100A8,2
RORA,SPP1,2
RORA,TP53I11,2
