source,target,lag
ADAMDEC1,HMGN3,0
ADAMDEC1,LEPR,0
ADAMTS14,FADS3,0
ADAMTS14,TP53I11,0
ADGRG3,CSGALNACT1,0
ADGRG3,KCNH7,0
ALPL,MARCO,0
APOL2,APOL6,0
APOL2,GBP7,0
APOL2,SPP1,0
APOL6,BCL2L14,0
ATP9A,FLT1,0
ATP9A,NR2E1,0
BCL2L14,SPP1,0
BEX2,GLI1,0
BMX,VNN1,0
C1QA,ADAMDEC1,0
C1QA,CCR4,0
C1QA,HMGN3,0
C1QA,LAPTM4B,0
CCR3,ZFPM2,0
CDKN1C,HMGN3,0
CDKN1C,IGHM,0
CHRNE,ANPEP,0
CHRNE,OLFM4,0
CLC,SLC16A1,0
CLDN7,C1QA,0
CLDN7,KCNMA1,0
CLDN7,MT-ND2,0
CLTCL1,IL2RA,0
COL11A1,FGFBP2,0
COL11A1,RORA,0
CPA3,DENND5B,0
CPA3,EPX,0
CPA3,PDZD4,0
CRISPLD2,CHRNE,0
CRISPLD2,IL18R1,0
CRISPLD2,MMP9,0
CSGALNACT1,CABLES2,0
CSGALNACT1,CLTCL1,0
CSGALNACT1,CRISPLD2,0
CSGALNACT1,ORM1,0
CST7,CXCL6,0
CST7,MMP8,0
CST7,OLFM4,0
CTLA4,EREG,0
CTLA4,NTRK1,0
CYP4F22,Metazoa_SRP,0
DDX60,IFI27,0
DDX60,ISG15,0
DDX60,MX2,0
DENND5B,C1QA,0
DENND5B,CPA3,0
DHX58,OAS2,0
DHX58,OASL,0
DHX58,TRIM14,0
DYSF,NR2E1,0
DYSF,OLFM4,0
DYSF,TRPM2,0
EIF2AK2,FAM216B,0
EIF2AK2,OAS3,0
EIF2AK2,SIGLEC1,0
EIF2AK2,TMPRSS2,0
ENTPD3,DYSF,0
ENTPD3,IL18R1,0
EPX,CCR3,0
FADS3,ARHGEF10,0
FAM216B,AHDC1,0
FAM216B,RNF213,0
FAM216B,SIGLEC1,0
FBLN2,Metazoa_SRP,0
FBLN2,NR6A1,0
FGFBP2,CTLA4,0
FLT1,CDKN1C,0
FLT1,JCHAIN,0
FLT1,MARCO,0
FOSB,SIK1,0
GBP3,APOL6,0
GBP3,CLC,0
GBP3,SPDYA,0
GBP7,BCL2L14,0
GBP7,GBP3,0
GPR15,PDZD4,0
GZMB,PRF1,0
GZMB,U3,0
HMGN3,CDKN1C,0
HMGN3,CLDN7,0
HSH2D,TENM1,0
HSH2D,TRIM6,0
IFI27,XAF1,0
IFI44,CLNK,0
IFI44,IFI27,0
IFI44,IFI44L,0
IFI44,IFI6,0
IFI44,ISG15,0
IFI44,RIGI,0
IFI44L,CLNK,0
IFI44L,HERC5,0
IFI44L,IFIT3,0
IFI44L,RIGI,0
IFI6,GZMB,0
IFI6,PCDH1,0
IFI6,USP18,0
IFIT2,PRF1,0
IFIT2,RIGI,0
IFIT3,IFI27,0
IFIT3,IFI44L,0
IFIT3,OAS1,0
IFIT3,RSAD2,0
IL18R1,CABLES2,0
IL18R1,CYP4F22,0
IL18R1,ENTPD3,0
IL18R1,MMP1,0
IL18RAP,MCEMP1,0
IL18RAP,TRPM2,0
IL18RAP,VNN2,0
IL18RAP,YES1,0
IRF7,PAK3,0
ISG15,CLNK,0
ISG15,IFIT2,0
JCHAIN,GPR15,0
KCNH7,IGHM,0
KCNH7,LYPD8,0
KCNMA1,C1QA,0
KCTD14,SIK1,0
LEPR,YEATS4,0
LGALS3BP,RNF213,0
LYPD8,ADAMTS14,0
LYPD8,FAM167B,0
LYPD8,TP53I11,0
LYPD8,ZNF423,0
MCEMP1,ALPL,0
MCEMP1,IL18RAP,0
MCEMP1,MMP10,0
MCEMP1,S100A12,0
MMP10,S100A8,0
MMP10,S100A9,0
MMP8,RNU6-1188P,0
MMP9,ADAMTS14,0
MMP9,DLG5,0
MMP9,MMP1,0
MMP9,PGLYRP1,0
MMP9,VNN1,0
MT-ND2,ADAMDEC1,0
MT-ND2,EREG,0
MX1,IFI6,0
MX2,CLNK,0
MX2,DDX60,0
MX2,OAS2,0
MX2,TMPRSS2,0
Metazoa_SRP,CABLES2,0
Metazoa_SRP,NR6A1,0
NGFR,KCTD14,0
NR2E1,ZNF423,0
NR6A1,FBLN2,0
NTRK1,CTLA4,0
NTRK1,EREG,0
NTRK1,MT-ND2,0
OAS1,IFIT3,0
OAS1,RSAD2,0
OAS2,TRIM14,0
OAS3,FAM216B,0
OAS3,HSH2D,0
OAS3,LGALS3BP,0
OAS3,PML,0
OAS3,RNF213,0
OAS3,SIGLEC1,0
OAS3,TENM1,0
OAS3,TRIM6,0
OASL,MX2,0
OASL,OAS2,0
OLFM4,CHRNE,0
OLFM4,CST7,0
OLFM4,FZD4,0
ORM1,FIGLA,0
PAK3,BCL2L14,0
PDZD4,CCR4,0
PDZD4,GPR15,0
PGLYRP1,CRISPLD2,0
PGLYRP1,ENTPD3,0
PLAU,ALPL,0
PLCD3,PGLYRP1,0
PML,AHDC1,0
PRF1,COL11A1,0
PRF1,GZMB,0
PRF1,IFI44L,0
PRF1,TRDC,0
PRSS33,RNF182,0
RIGI,IFIT2,0
RIGI,PRF1,0
RNF182,PRSS33,0
RNF213,LGALS3BP,0
RSAD2,RORA,0
RSAD2,TRDC,0
S100A12,FAM167B,0
S100A12,S100A8,0
S100A8,S100A12,0
S100A8,S100A9,0
S100A8,VNN2,0
S100A9,MCEMP1,0
S100A9,ORM1,0
S100A9,S100A12,0
S100A9,VNN1,0
SIGLEC1,NGFR,0
SIGLEC1,RNF213,0
SIK1,KCTD14,0
SLC16A1,DSCC1,0
SLC16A1,Metazoa_SRP,0
SLC16A1,NR6A1,0
SPDYA,ARHGEF10,0
SPDYA,DDB1,0
SPP1,CLC,0
SPP1,FBLN2,0
TENM1,FOSB,0
TMPRSS2,FOSB,0
TMPRSS2,HSH2D,0
TP53I11,FADS3,0
TP53I11,LYPD8,0
TP53I11,PRSS33,0
TRDC,FGFBP2,0
TRIM14,HSH2D,0
TRIM14,OAS2,0
TRPM2,CST7,0
TRPM2,DYSF,0
TRPM2,IL18RAP,0
U3,FZD4,0
USP18,IFIT3,0
USP18,RSAD2,0
VNN1,MMP9,0
VNN1,ORM1,0
VNN1,S100A9,0
VNN1,TP53I11,0
XAF1,GBP3,0
YEATS4,EQTN,0
YES1,FZD4,0
ZFPM2,CCR3,0
ZNF423,FADS3,0
ADAMDEC1,OLFM4,1
AHDC1,FBLN2,1
AHDC1,LEPR,1
AHDC1,MMP10,1
AHDC1,S100A8,1
AHDC1,SPP1,1
AHDC1,YES1,1
ALPL,BEX2,1
ANPEP,YEATS4,1
ARHGEF10,PLAU,1
ARHGEF10,SPDYA,1
BEX2,ALPL,1
BEX2,DYSF,1
BEX2,FLT1,1
BEX2,PML,1
BEX2,RORA,1
C1QA,ADGRG3,1
C1QA,CCR3,1
CABLES2,APOL6,1
CABLES2,BEX2,1
CABLES2,C1QA,1
CABLES2,GBP3,1
CABLES2,KCTD14,1
CDKN1C,EPX,1
CDKN1C,MMP1,1
CDKN1C,MMP8,1
CLC,FLT1,1
CLC,TRDC,1
CLTCL1,KCNH7,1
CTLA4,NTRK1,1
DDB1,CLTCL1,1
DDB1,NBL1,1
DDB1,NTRK1,1
DDB1,PLCD3,1
DENND5B,FAM216B,1
DENND5B,LANCL3,1
DENND5B,SPDYA,1
EPX,CDKN1C,1
FADS3,FAM167B,1
FAM167B,NBL1,1
FAM167B,YES1,1
FAM185A,RNF182,1
FBLN2,ARHGEF10,1
FBXO39,DENND5B,1
FLT1,MX1,1
FLT1,OAS1,1
GPR15,EPX,1
GPR15,LAPTM4B,1
GPR15,SPP1,1
HSH2D,PGLYRP1,1
IGHM,DDX60,1
IGHM,IFI6,1
IGHM,PCDH1,1
IGHM,RNU6-1188P,1
IL2RA,LGALS3BP,1
IL2RA,TRPM2,1
JCHAIN,HERC5,1
JCHAIN,MX1,1
JCHAIN,OAS1,1
JCHAIN,OASL,1
KCNMA1,MARCO,1
KCTD14,NR6A1,1
LANCL3,ADGRG3,1
LANCL3,MMP10,1
LANCL3,PDZD4,1
LANCL3,YES1,1
LEPR,ALPL,1
LEPR,BCL2L14,1
LEPR,CPA3,1
LEPR,DYSF,1
LGALS3BP,PLAU,1
MARCO,IGHM,1
MARCO,RORA,1
MMP1,ZFPM2,1
MT-ND2,CHRNE,1
MT-ND2,FZD4,1
NBL1,ADGRG3,1
NBL1,BMX,1
NBL1,DLG5,1
NBL1,IL18R1,1
NBL1,IRF7,1
NBL1,LANCL3,1
NBL1,VNN1,1
NGFR,MMP10,1
NGFR,YEATS4,1
NR6A1,APOL2,1
NR6A1,FADS3,1
NR6A1,RNU6-1188P,1
PLAU,BEX2,1
PRSS33,EPX,1
PRSS33,GBP3,1
RNF213,S100A9,1
RNU6-1188P,DSCC1,1
RORA,ANPEP,1
RORA,CHRNE,1
RORA,CPA3,1
RORA,DDX60,1
RORA,DENND5B,1
RORA,EIF2AK2,1
RORA,FBXO39,1
RORA,HERC5,1
RORA,HSH2D,1
RORA,IFI44,1
RORA,IFI6,1
RORA,IRF7,1
RORA,ISG15,1
RORA,KCTD14,1
RORA,LEPR,1
RORA,MX1,1
RORA,MX2,1
RORA,NGFR,1
RORA,OAS1,1
RORA,OAS3,1
RORA,OASL,1
RORA,PLCD3,1
RORA,PML,1
RORA,SIGLEC1,1
RORA,TMPRSS2,1
RORA,TRIM14,1
RORA,USP18,1
RORA,XAF1,1
SIK1,APOL2,1
SIK1,EQTN,1
SLC16A1,NR2E1,1
SPDYA,AREG,1
TMPRSS2,PAK3,1
TRDC,GZMB,1
TRDC,JCHAIN,1
TRDC,MX1,1
TRDC,OASL,1
TRDC,RSAD2,1
TRIM6,MMP8,1
TRIM6,MMP9,1
TRIM6,TRPM2,1
U3,CXCL6,1
U3,FAM185A,1
ZNF423,EREG,1
ZNF423,LYPD8,1
ADAMTS14,AREG,2
ADAMTS14,CLDN7,2
ADAMTS14,DDB1,2
ADAMTS14,GLI1,2
ADAMTS14,SLC16A1,2
ADAMTS14,TRDC,2
AREG,CTLA4,2
AREG,PRSS33,2
AREG,TP53I11,2
ARHGEF10,ADAMDEC1,2
ARHGEF10,DDB1,2
ARHGEF10,FGFBP2,2
ARHGEF10,GZMB,2
ARHGEF10,IFIT2,2
ARHGEF10,KCNMA1,2
ARHGEF10,NGFR,2
ARHGEF10,RNF182,2
ARHGEF10,SIK1,2
ARHGEF10,SLC16A1,2
BCL2L14,RNU6-1188P,2
BEX2,AHDC1,2
BEX2,ANPEP,2
BEX2,FAM216B,2
BEX2,LGALS3BP,2
BEX2,OAS3,2
BEX2,PML,2
BEX2,USP18,2
BEX2,YEATS4,2
CABLES2,U3,2
CLC,COL11A1,2
CLC,DDX60,2
CLC,EIF2AK2,2
CLC,IFI44L,2
CLC,IFIT2,2
CLC,PRF1,2
CTLA4,NBL1,2
CXCL6,ATP9A,2
CXCL6,CLTCL1,2
CXCL6,CST7,2
CXCL6,ENTPD3,2
CXCL6,GPR15,2
CXCL6,NR2E1,2
CXCL6,ZNF423,2
DDB1,KCNH7,2
DDB1,PDZD4,2
DDB1,S100A12,2
DDB1,VNN2,2
DENND5B,ATP9A,2
DYSF,CYP4F22,2
FAM167B,ADGRG3,2
FAM167B,CABLES2,2
FAM167B,CLDN7,2
FAM167B,CSGALNACT1,2
FAM167B,HMGN3,2
FAM167B,IRF7,2
FAM167B,PLCD3,2
FAM185A,COL11A1,2
FAM185A,DDB1,2
FAM185A,FOSB,2
FAM185A,IRF7,2
FAM185A,PLCD3,2
FAM185A,SLC16A1,2
FAM185A,XAF1,2
FGFBP2,CLC,2
FGFBP2,DLG5,2
FGFBP2,TRIM6,2
FIGLA,ARHGEF10,2
FLT1,GLI1,2
FOSB,KCNH7,2
FOSB,LANCL3,2
GBP3,PCDH1,2
GBP7,FIGLA,2
GBP7,MMP1,2
GLI1,CRISPLD2,2
GLI1,CSGALNACT1,2
GLI1,MMP9,2
GLI1,PGLYRP1,2
GPR15,CDKN1C,2
GPR15,DSCC1,2
GPR15,IL2RA,2
GPR15,JCHAIN,2
GPR15,LAPTM4B,2
IGHM,DHX58,2
IGHM,HERC5,2
IGHM,IFI27,2
IGHM,IFI44,2
IGHM,IFIT3,2
IGHM,ISG15,2
IGHM,TRIM14,2
IL2RA,MARCO,2
LANCL3,MT-ND2,2
LANCL3,PRSS33,2
NBL1,CCR3,2
NBL1,CPA3,2
NBL1,FBLN2,2
NBL1,FIGLA,2
NBL1,IL18RAP,2
NBL1,MMP8,2
NGFR,FLT1,2
NR6A1,DLG5,2
NR6A1,GPR15,2
NR6A1,IL2RA,2
NR6A1,JCHAIN,2
NTRK1,DSCC1,2
NTRK1,FAM185A,2
NTRK1,PAK3,2
NTRK1,ZNF423,2
ORM1,IL2RA,2
PAK3,CLDN7,2
PAK3,CSGALNACT1,2
PAK3,CYP4F22,2
PAK3,IL18R1,2
PLAU,NBL1,2
RNU6-1188P,GBP7,2
RORA,ADAMTS14,2
RORA,ATP9A,2
RORA,CST7,2
RORA,DENND5B,2
RORA,FIGLA,2
RORA,GBP7,2
RORA,LYPD8,2
RORA,MT-ND2,2
RORA,NGFR,2
RORA,PLAU,2
RORA,S100A8,2
SIK1,KCNMA1,2
SIK1,NTRK1,2
SLC16A1,FAM167B,2
SLC16A1,RNF182,2
SLC16A1,VNN2,2
SPDYA,PAK3,2
TRDC,COL11A1,2
TRDC,PCDH1,2
TRDC,XAF1,2
U3,CTLA4,2
USP18,IGHM,2
USP18,Metazoa_SRP,2
ZFPM2,FBXO39,2
ZFPM2,FGFBP2,2
ZFPM2,TENM1,2
ZFPM2,USP18,2
ZNF423,GBP7,2
