source,target,lag
ADAMDEC1,CDKN1C,0
ADAMDEC1,CLDN7,0
ADAMDEC1,HMGN3,0
ADAMTS14,TP53I11,0
ADGRG3,CRISPLD2,0
ADGRG3,CSGALNACT1,0
ADGRG3,IL18R1,0
ADGRG3,MMP9,0
ADGRG3,PGLYRP1,0
AHDC1,CABLES2,0
AHDC1,IL2RA,0
ALPL,FLT1,0
APOL2,SPP1,0
APOL6,KCNMA1,0
AREG,EREG,0
AREG,PDZD4,0
AREG,SIK1,0
ATP9A,FLT1,0
ATP9A,TRPM2,0
BCL2L14,APOL6,0
BCL2L14,SPP1,0
BEX2,RNF182,0
BMX,LYPD8,0
C1QA,CCR4,0
C1QA,KCNMA1,0
C1QA,LAPTM4B,0
CCR3,EPX,0
CCR3,ZFPM2,0
CCR4,DENND5B,0
CCR4,GPR15,0
CDKN1C,ADAMDEC1,0
CDKN1C,HMGN3,0
CHRNE,AHDC1,0
CLC,SPP1,0
CLC,ZFPM2,0
CLDN7,CCR4,0
CLDN7,DENND5B,0
CLDN7,EPX,0
CLDN7,HMGN3,0
CLTCL1,IL2RA,0
COL11A1,RORA,0
CRISPLD2,CHRNE,0
CRISPLD2,CSGALNACT1,0
CRISPLD2,PLCD3,0
CRISPLD2,RNU6-1188P,0
CSGALNACT1,CRISPLD2,0
CTLA4,FAM185A,0
CYP4F22,FZD4,0
CYP4F22,Metazoa_SRP,0
DDX60,HSH2D,0
DDX60,IFI44,0
DDX60,ISG15,0
DDX60,PCDH1,0
DDX60,USP18,0
DENND5B,GPR15,0
DENND5B,MT-ND2,0
DHX58,OAS2,0
DHX58,TRIM14,0
DLG5,PLCD3,0
DSCC1,CLC,0
DSCC1,FAM185A,0
DYSF,PGLYRP1,0
EIF2AK2,FAM216B,0
EIF2AK2,TRIM14,0
EIF2AK2,TRIM6,0
ENTPD3,CRISPLD2,0
ENTPD3,PGLYRP1,0
ENTPD3,TRPM2,0
ENTPD3,VNN1,0
EQTN,LEPR,0
FAM216B,FBXO39,0
FAM216B,NGFR,0
FAM216B,TMPRSS2,0
FBXO39,FOSB,0
FIGLA,CYP4F22,0
FLT1,CDKN1C,0
GBP3,APOL6,0
GBP3,CLC,0
GBP7,APOL6,0
GBP7,BCL2L14,0
GLI1,RNF182,0
GZMB,PRF1,0
GZMB,U3,0
HMGN3,C1QA,0
IFI44,CLNK,0
IFI44,COL11A1,0
IFI44,IFI44L,0
IFI44,ISG15,0
IFI44,TENM1,0
IFI44L,IFI6,0
IFI44L,IFIT2,0
IFI44L,PRF1,0
IFI44L,RIGI,0
IFI6,DDX60,0
IFI6,GZMB,0
IFI6,HERC5,0
IFIT2,MX1,0
IFIT3,PRF1,0
IFIT3,RIGI,0
IGHM,FLT1,0
IL18R1,CRISPLD2,0
IL18R1,CYP4F22,0
IL18R1,RNU6-1188P,0
IL18RAP,MMP10,0
IL18RAP,VNN2,0
IL2RA,NBL1,0
IRF7,PAK3,0
ISG15,DDX60,0
ISG15,IFI44,0
ISG15,IFIT2,0
ISG15,MX1,0
ISG15,MX2,0
ISG15,PCDH1,0
ISG15,RSAD2,0
JCHAIN,CDKN1C,0
JCHAIN,YEATS4,0
KCTD14,U3,0
LANCL3,Metazoa_SRP,0
LEPR,LAPTM4B,0
LEPR,YEATS4,0
LYPD8,KCNH7,0
MCEMP1,ALPL,0
MCEMP1,ATP9A,0
MCEMP1,S100A8,0
MCEMP1,S100A9,0
MCEMP1,YES1,0
MMP1,CABLES2,0
MMP1,RNU6-1188P,0
MMP10,S100A8,0
MMP8,MMP1,0
MMP9,CSGALNACT1,0
MMP9,MMP8,0
MMP9,OLFM4,0
MMP9,VNN1,0
MT-ND2,CTLA4,0
MX1,HERC5,0
MX1,IFI44,0
MX1,IFI44L,0
MX1,IFI6,0
MX1,IFIT2,0
MX2,DDX60,0
MX2,DHX58,0
MX2,EIF2AK2,0
MX2,MX1,0
MX2,OASL,0
Metazoa_SRP,FBLN2,0
Metazoa_SRP,NR6A1,0
NGFR,KCTD14,0
NR2E1,KCNH7,0
NR2E1,LYPD8,0
NR2E1,PLAU,0
NR6A1,DDB1,0
NR6A1,FBLN2,0
NTRK1,AREG,0
NTRK1,EREG,0
NTRK1,FAM185A,0
OAS1,IFIT2,0
OAS1,XAF1,0
OAS2,IRF7,0
OAS2,OASL,0
OAS3,FAM216B,0
OAS3,HSH2D,0
