source,target,lag
CABLES2,APOL6,1
CABLES2,C1QA,1
CABLES2,CLTCL1,1
CABLES2,DDB1,1
CABLES2,GBP3,1
CABLES2,KCNMA1,1
CABLES2,KCTD14,1
CABLES2,MARCO,1
CDKN1C,HSH2D,1
CLC,FLT1,1
CLNK,C1QA,1
CLTCL1,CLC,1
COL11A1,HSH2D,1
CSGALNACT1,CCR3,1
CSGALNACT1,ZFPM2,1
CTLA4,FAM167B,1
CTLA4,RSAD2,1
CYP4F22,IL2RA,1
DDB1,ADAMTS14,1
DDB1,DSCC1,1
DDB1,LAPTM4B,1
DDB1,MT-ND2,1
DDB1,PLCD3,1
DDB1,TP53I11,1
DENND5B,LANCL3,1
DENND5B,PLAU,1
EPX,CDKN1C,1
FAM167B,DDB1,1
FAM167B,NBL1,1
FAM167B,YES1,1
FAM185A,FGFBP2,1
FAM185A,VNN2,1
FBXO39,DENND5B,1
FBXO39,TP53I11,1
FIGLA,CHRNE,1
FLT1,EQTN,1
FLT1,GZMB,1
FLT1,IFI44L,1
FLT1,IFIT3,1
FLT1,TENM1,1
GLI1,CDKN1C,1
GLI1,IL2RA,1
GPR15,AHDC1,1
GPR15,CABLES2,1
GPR15,CLDN7,1
GPR15,LAPTM4B,1
GPR15,MMP1,1
GPR15,S100A12,1
GPR15,YEATS4,1
IGHM,IFI6,1
IGHM,PCDH1,1
IGHM,RNU6-1188P,1
IL2RA,CST7,1
IL2RA,IL18RAP,1
IRF7,IL18RAP,1
IRF7,LANCL3,1
IRF7,VNN1,1
JCHAIN,IFI27,1
JCHAIN,IFI44L,1
JCHAIN,IFIT2,1
JCHAIN,TENM1,1
KCNMA1,MARCO,1
KCTD14,CXCL6,1
LANCL3,ADGRG3,1
LANCL3,CLDN7,1
LANCL3,FIGLA,1
LANCL3,KCTD14,1
LANCL3,MMP10,1
LANCL3,NR6A1,1
LANCL3,ORM1,1
LANCL3,YES1,1
LAPTM4B,FZD4,1
LEPR,BCL2L14,1
LEPR,DYSF,1
LGALS3BP,VNN2,1
NBL1,C1QA,1
NBL1,CRISPLD2,1
NBL1,CSGALNACT1,1
NBL1,ENTPD3,1
NBL1,HMGN3,1
NBL1,IRF7,1
NBL1,LANCL3,1
NBL1,MMP9,1
NBL1,PGLYRP1,1
NBL1,PLCD3,1
NBL1,VNN1,1
NGFR,FADS3,1
NR2E1,FOSB,1
NR6A1,APOL2,1
NR6A1,FLT1,1
NTRK1,YES1,1
ORM1,AHDC1,1
ORM1,EPX,1
PRSS33,GBP3,1
RNF213,S100A9,1
RNF213,VNN1,1
RORA,CLC,1
RORA,DHX58,1
RORA,EIF2AK2,1
RORA,GBP3,1
