source,target,lag
ADAMDEC1,C1QA,0
ADAMTS14,NBL1,0
ADGRG3,ATP9A,0
ADGRG3,CRISPLD2,0
ADGRG3,FAM167B,0
ADGRG3,MMP9,0
ADGRG3,PGLYRP1,0
ALPL,MARCO,0
APOL2,FBLN2,0
APOL6,APOL2,0
APOL6,GBP3,0
APOL6,GBP7,0
APOL6,KCNMA1,0
AREG,NTRK1,0
AREG,SIK1,0
ATP9A,KCNH7,0
ATP9A,NR2E1,0
ATP9A,TRPM2,0
BCL2L14,APOL6,0
BCL2L14,FBLN2,0
BCL2L14,GBP7,0
BCL2L14,PAK3,0
BMX,ADGRG3,0
BMX,MMP10,0
BMX,VNN1,0
C1QA,ADAMDEC1,0
CCR3,CLC,0
CCR4,PDZD4,0
CDKN1C,FLT1,0
CHRNE,AHDC1,0
CLC,DSCC1,0
CLC,EPX,0
CLC,SPP1,0
CLC,ZFPM2,0
CLDN7,ADAMDEC1,0
CLDN7,EPX,0
CLDN7,HMGN3,0
CLNK,LANCL3,0
CLTCL1,IL2RA,0
COL11A1,TRDC,0
CPA3,DENND5B,0
CRISPLD2,CSGALNACT1,0
CRISPLD2,ENTPD3,0
CRISPLD2,IL18R1,0
CRISPLD2,MMP1,0
CSGALNACT1,CABLES2,0
CST7,MMP8,0
CST7,PLAU,0
DDB1,SLC16A1,0
DDX60,ISG15,0
DDX60,USP18,0
DENND5B,C1QA,0
DENND5B,CCR4,0
DENND5B,MT-ND2,0
DLG5,PLCD3,0
DSCC1,ZFPM2,0
DYSF,PGLYRP1,0
DYSF,TRPM2,0
EIF2AK2,FAM216B,0
EIF2AK2,KCTD14,0
EIF2AK2,SIGLEC1,0
ENTPD3,IL18R1,0
ENTPD3,VNN1,0
EPX,CLDN7,0
EPX,CPA3,0
EQTN,FADS3,0
FAM167B,BEX2,0
FAM185A,CTLA4,0
FAM185A,DSCC1,0
FAM185A,NTRK1,0
FAM216B,AHDC1,0
FAM216B,RNF213,0
FBLN2,FZD4,0
FBLN2,NR6A1,0
FBXO39,SIGLEC1,0
FLT1,CDKN1C,0
FLT1,MARCO,0
GBP3,APOL2,0
GBP3,APOL6,0
GBP3,CCR3,0
GBP3,GBP7,0
GBP7,APOL6,0
GBP7,BCL2L14,0
GPR15,JCHAIN,0
GZMB,COL11A1,0
GZMB,FGFBP2,0
GZMB,U3,0
HMGN3,CDKN1C,0
IFI27,U3,0
IFI44,CLNK,0
IFI44,COL11A1,0
IFI44,GZMB,0
IFI44,IFI44L,0
IFI44,ISG15,0
IFI44,RIGI,0
IFI44,TENM1,0
IFI44L,IFI6,0
IFI44L,MX1,0
IFI6,DDX60,0
IFI6,HERC5,0
IFI6,ISG15,0
IFI6,PCDH1,0
IFI6,USP18,0
IFIT2,IFI27,0
IFIT2,IFIT3,0
IFIT2,MX1,0
IFIT2,U3,0
IFIT3,IFI27,0
IFIT3,RSAD2,0
IL18R1,CHRNE,0
IL18R1,CYP4F22,0
IL18R1,RNU6-1188P,0
IL18RAP,ALPL,0
IL18RAP,YES1,0
IRF7,GBP3,0
