source,target,lag
ADAMDEC1,CDKN1C,0
ADAMDEC1,CLDN7,0
ADGRG3,ENTPD3,0
ADGRG3,FAM167B,0
ADGRG3,ORM1,0
ADGRG3,PGLYRP1,0
ADGRG3,VNN1,0
ALPL,MARCO,0
APOL2,APOL6,0
APOL2,BCL2L14,0
APOL2,FBLN2,0
APOL2,GBP3,0
APOL2,SPP1,0
APOL6,KCNMA1,0
AREG,CTLA4,0
AREG,NTRK1,0
AREG,PDZD4,0
BMX,LYPD8,0
BMX,S100A12,0
BMX,TP53I11,0
C1QA,CDKN1C,0
C1QA,KCNMA1,0
CCR3,CLC,0
CCR3,GBP3,0
CDKN1C,FLT1,0
CLC,CCR3,0
CLC,CPA3,0
CLC,EPX,0
CLC,LAPTM4B,0
CLC,SPDYA,0
CLC,ZFPM2,0
CLDN7,EPX,0
CLDN7,GPR15,0
CLNK,LANCL3,0
CLTCL1,CSGALNACT1,0
CLTCL1,CXCL6,0
CLTCL1,ORM1,0
COL11A1,FGFBP2,0
COL11A1,GZMB,0
COL11A1,TRDC,0
CRISPLD2,CHRNE,0
CRISPLD2,CLTCL1,0
CRISPLD2,PLCD3,0
CSGALNACT1,CABLES2,0
CST7,DYSF,0
CST7,MMP9,0
CST7,OLFM4,0
CST7,PLAU,0
CTLA4,FAM185A,0
CTLA4,NTRK1,0
CYP4F22,LANCL3,0
DDB1,SLC16A1,0
DLG5,PLCD3,0
DSCC1,FAM185A,0
DSCC1,MT-ND2,0
DYSF,ANPEP,0
DYSF,PGLYRP1,0
EIF2AK2,DHX58,0
EIF2AK2,FAM216B,0
EIF2AK2,OAS3,0
EIF2AK2,TMPRSS2,0
EIF2AK2,TRIM6,0
ENTPD3,CRISPLD2,0
ENTPD3,IL18R1,0
ENTPD3,KCNH7,0
ENTPD3,NR2E1,0
EPX,CCR3,0
EQTN,YEATS4,0
EREG,MT-ND2,0
FADS3,ARHGEF10,0
FADS3,EQTN,0
FAM185A,CTLA4,0
FAM216B,EIF2AK2,0
FAM216B,FBXO39,0
FAM216B,OAS3,0
FBLN2,BCL2L14,0
FBLN2,DDB1,0
FLT1,GLI1,0
FLT1,IGHM,0
FLT1,JCHAIN,0
GBP3,CCR3,0
GBP3,SPDYA,0
GBP3,ZFPM2,0
GBP7,APOL2,0
GBP7,APOL6,0
GBP7,FBLN2,0
GZMB,PRF1,0
GZMB,RORA,0
HERC5,COL11A1,0
HMGN3,CLDN7,0
HMGN3,DENND5B,0
HSH2D,FIGLA,0
IFI27,XAF1,0
IFI44,CLNK,0
IFI44,IFI6,0
IFI44,ISG15,0
IFI44,PCDH1,0
IFI44L,FGFBP2,0
IFI44L,HERC5,0
IFI44L,IFI44,0
IFI44L,MX1,0
IFI6,HERC5,0
IFI6,IFI44,0
IFI6,ISG15,0
IFI6,PCDH1,0
IL18R1,CYP4F22,0
IL18RAP,ALPL,0
IL18RAP,YES1,0
IRF7,GBP3,0
ISG15,DDX60,0
ISG15,IFIT2,0
ISG15,MX1,0
ISG15,MX2,0
ISG15,OAS1,0
ISG15,RSAD2,0
JCHAIN,LEPR,0
KCNMA1,APOL6,0
KCNMA1,CCR4,0
KCNMA1,NGFR,0
KCTD14,NGFR,0
LANCL3,CYP4F22,0
LANCL3,Metazoa_SRP,0
LEPR,JCHAIN,0
LEPR,YEATS4,0
LGALS3BP,RNF213,0
LYPD8,ADAMTS14,0
LYPD8,BMX,0
LYPD8,ZNF423,0
MARCO,FLT1,0
MARCO,IGHM,0
MARCO,JCHAIN,0
MCEMP1,ALPL,0
MCEMP1,ATP9A,0
MCEMP1,IL18RAP,0
MCEMP1,S100A12,0
MMP1,MMP8,0
MMP1,RNU6-1188P,0
MMP10,S100A9,0
MMP8,MMP1,0
MMP8,OLFM4,0
MMP9,CSGALNACT1,0
MMP9,DYSF,0
MMP9,OLFM4,0
MMP9,PGLYRP1,0
MMP9,TRPM2,0
MT-ND2,CTLA4,0
MT-ND2,DENND5B,0
MT-ND2,EREG,0
MX1,IFIT2,0
MX1,OASL,0
MX1,RIGI,0
MX2,CLNK,0
MX2,DHX58,0
MX2,MX1,0
MX2,TMPRSS2,0
MX2,TRIM14,0
Metazoa_SRP,CYP4F22,0
Metazoa_SRP,FBLN2,0
NR2E1,KCNH7,0
NR6A1,EQTN,0
NR6A1,SPP1,0
OAS1,DDX60,0
OAS2,DHX58,0
OAS2,IRF7,0
