seed,best_score,n_edges
4,-29485.796534976642,517
9,-29527.787413734866,536
3,-29572.05570193249,531
5,-29595.97859383997,528
0,-29613.158167662197,532
1,-29615.16050303016,522
2,-29621.654317987595,522
6,-29638.30542472496,517
8,-29672.31497483299,517
7,-29679.02262888512,508
