source,target,lag
ADAMDEC1,C1QA,0
ADAMDEC1,CDKN1C,0
ADAMTS14,ARHGEF10,0
ADAMTS14,TP53I11,0
ADGRG3,IL18R1,0
ADGRG3,MMP8,0
ADGRG3,MMP9,0
ALPL,FLT1,0
ALPL,MARCO,0
APOL2,BCL2L14,0
APOL2,GBP3,0
APOL2,GBP7,0
APOL6,APOL2,0
AREG,CTLA4,0
AREG,EREG,0
AREG,NTRK1,0
ATP9A,FLT1,0
BCL2L14,APOL2,0
BMX,ORM1,0
BMX,S100A12,0
C1QA,MT-ND2,0
CCR3,EPX,0
CCR4,GPR15,0
CDKN1C,ADAMDEC1,0
CHRNE,ANPEP,0
CLC,FAM185A,0
CLC,SLC16A1,0
CLC,ZFPM2,0
CLDN7,C1QA,0
CLDN7,EPX,0
CLTCL1,NBL1,0
CLTCL1,ORM1,0
CLTCL1,PLCD3,0
COL11A1,TRDC,0
CRISPLD2,CHRNE,0
CRISPLD2,CLTCL1,0
CRISPLD2,MMP1,0
CRISPLD2,RNU6-1188P,0
CSGALNACT1,FIGLA,0
CSGALNACT1,MMP1,0
CSGALNACT1,RNU6-1188P,0
CST7,MMP9,0
CST7,PLAU,0
CTLA4,EREG,0
CTLA4,NTRK1,0
CXCL6,NBL1,0
DDX60,IFI27,0
DDX60,IFI44,0
DDX60,ISG15,0
DDX60,XAF1,0
DHX58,IRF7,0
DHX58,TRIM14,0
DLG5,LANCL3,0
DSCC1,CLC,0
DSCC1,LAPTM4B,0
DYSF,ALPL,0
DYSF,TRPM2,0
EIF2AK2,KCTD14,0
EIF2AK2,OAS2,0
ENTPD3,ADGRG3,0
ENTPD3,ANPEP,0
ENTPD3,CST7,0
ENTPD3,DYSF,0
ENTPD3,LYPD8,0
ENTPD3,VNN1,0
EQTN,BEX2,0
EQTN,YEATS4,0
EREG,AREG,0
EREG,SIK1,0
FAM167B,RNF182,0
FAM216B,EIF2AK2,0
FAM216B,PML,0
FAM216B,RNF213,0
FBLN2,BCL2L14,0
FBXO39,FOSB,0
FGFBP2,NTRK1,0
FIGLA,CYP4F22,0
FLT1,IGHM,0
FLT1,JCHAIN,0
FZD4,CYP4F22,0
GBP3,KCNMA1,0
GBP3,SPDYA,0
GBP7,APOL2,0
GBP7,GBP3,0
GLI1,IGHM,0
GZMB,PRF1,0
GZMB,U3,0
HMGN3,CLDN7,0
HMGN3,GPR15,0
HSH2D,TMPRSS2,0
IFI44,IFI44L,0
IFI44,MX2,0
IFI44,RSAD2,0
IFI44,TENM1,0
IFI44L,COL11A1,0
IFI44L,PRF1,0
IFI44L,USP18,0
IFI6,ISG15,0
IFIT2,IFI27,0
IFIT3,PRF1,0
IFIT3,USP18,0
IL18RAP,ALPL,0
IL18RAP,TRPM2,0
IRF7,APOL6,0
IRF7,BCL2L14,0
IRF7,GBP7,0
ISG15,HERC5,0
ISG15,IFIT2,0
ISG15,IFIT3,0
ISG15,OAS1,0
JCHAIN,GPR15,0
KCNH7,IGHM,0
KCTD14,NGFR,0
KCTD14,U3,0
LANCL3,CYP4F22,0
LANCL3,Metazoa_SRP,0
LAPTM4B,LEPR,0
LAPTM4B,SPP1,0
LEPR,ADAMDEC1,0
LEPR,LAPTM4B,0
LGALS3BP,RNF213,0
LYPD8,ADAMTS14,0
LYPD8,KCNH7,0
MCEMP1,S100A12,0
MCEMP1,S100A8,0
MMP10,S100A9,0
MMP10,YES1,0
MMP9,CHRNE,0
MMP9,OLFM4,0
MMP9,PLCD3,0
MT-ND2,ADAMDEC1,0
MT-ND2,DSCC1,0
MT-ND2,EREG,0
MX1,OAS1,0
MX2,CLNK,0
MX2,DHX58,0
MX2,EIF2AK2,0
MX2,OASL,0
NGFR,KCTD14,0
NR2E1,PRSS33,0
NR6A1,FBLN2,0
NR6A1,SPP1,0
OAS1,IFI27,0
OAS2,TRIM14,0
OAS3,HSH2D,0
OAS3,LGALS3BP,0
OASL,DHX58,0
OASL,OAS2,0
OASL,PAK3,0
OLFM4,MMP1,0
OLFM4,MMP8,0
ORM1,BMX,0
ORM1,FIGLA,0
PCDH1,RORA,0
PDZD4,EPX,0
PGLYRP1,ADAMTS14,0
