source,target,lag
ADAMDEC1,CDKN1C,0
ADAMDEC1,CLDN7,0
ADAMTS14,FADS3,0
ADGRG3,FAM167B,0
ADGRG3,IL18R1,0
ADGRG3,MMP8,0
ADGRG3,MMP9,0
ADGRG3,ORM1,0
AHDC1,IL2RA,0
ALPL,FLT1,0
APOL2,GBP7,0
AREG,CTLA4,0
AREG,NTRK1,0
ATP9A,FLT1,0
ATP9A,KCNH7,0
BCL2L14,APOL2,0
BMX,ADGRG3,0
BMX,LYPD8,0
BMX,MMP10,0
BMX,ORM1,0
BMX,S100A9,0
C1QA,CDKN1C,0
CCR3,CPA3,0
CCR4,DENND5B,0
CCR4,PDZD4,0
CDKN1C,ADAMDEC1,0
CLC,CCR3,0
CLC,SLC16A1,0
CLC,SPDYA,0
CLC,SPP1,0
CLDN7,ADAMDEC1,0
CLDN7,CCR4,0
CLDN7,EPX,0
CLDN7,HMGN3,0
CLNK,PAK3,0
CLTCL1,ADAMTS14,0
CLTCL1,NBL1,0
CLTCL1,ORM1,0
COL11A1,FGFBP2,0
CPA3,CCR3,0
CRISPLD2,DLG5,0
CRISPLD2,ENTPD3,0
CRISPLD2,MMP1,0
CSGALNACT1,CABLES2,0
CSGALNACT1,CRISPLD2,0
CTLA4,FAM185A,0
CXCL6,NBL1,0
CYP4F22,LANCL3,0
DDX60,IFI27,0
DDX60,IFI44,0
DDX60,OASL,0
DDX60,USP18,0
DDX60,XAF1,0
DENND5B,GPR15,0
DHX58,IRF7,0
DHX58,OAS2,0
DHX58,PML,0
DHX58,TRIM14,0
DLG5,PLCD3,0
DSCC1,FAM185A,0
DYSF,NR2E1,0
DYSF,OLFM4,0
EIF2AK2,DHX58,0
EIF2AK2,FBXO39,0
EIF2AK2,OAS3,0
EIF2AK2,TMPRSS2,0
EPX,CPA3,0
EREG,SIK1,0
FAM167B,BEX2,0
FAM185A,DSCC1,0
FAM216B,FBXO39,0
FAM216B,KCTD14,0
FAM216B,PML,0
FAM216B,SIGLEC1,0
FAM216B,TRIM6,0
FBLN2,SLC16A1,0
FBLN2,SPP1,0
FGFBP2,FAM185A,0
FGFBP2,TRDC,0
FIGLA,CYP4F22,0
FLT1,CDKN1C,0
FLT1,GLI1,0
GBP3,CCR3,0
GLI1,IGHM,0
GPR15,JCHAIN,0
HERC5,COL11A1,0
HERC5,HSH2D,0
HERC5,TENM1,0
HMGN3,CLDN7,0
HMGN3,DENND5B,0
HSH2D,TMPRSS2,0
HSH2D,TRIM6,0
IFI27,XAF1,0
IFI44,RSAD2,0
IFI44L,COL11A1,0
IFI44L,GZMB,0
IFI44L,IFIT3,0
IFI44L,PRF1,0
IFI6,HERC5,0
IFI6,IFI44,0
IFI6,PCDH1,0
IFI6,U3,0
IFI6,USP18,0
IFIT3,IFI44L,0
IFIT3,IFIT2,0
IFIT3,RSAD2,0
IFIT3,TRDC,0
IGHM,FLT1,0
IGHM,JCHAIN,0
IL18R1,ADGRG3,0
IL18R1,CYP4F22,0
IL18R1,ENTPD3,0
IL18RAP,S100A8,0
IL18RAP,TRPM2,0
IRF7,BCL2L14,0
IRF7,GBP3,0
ISG15,DDX60,0
ISG15,IFI44L,0
ISG15,MX1,0
ISG15,OAS1,0
JCHAIN,IGHM,0
JCHAIN,MARCO,0
KCNH7,LYPD8,0
KCTD14,NGFR,0
LEPR,YEATS4,0
LYPD8,FAM167B,0
LYPD8,TP53I11,0
MCEMP1,IL18RAP,0
MCEMP1,MMP10,0
MCEMP1,S100A8,0
MCEMP1,VNN2,0
MCEMP1,YES1,0
MMP1,RNU6-1188P,0
MMP10,YES1,0
MMP8,OLFM4,0
MMP8,RNU6-1188P,0
MMP9,ADGRG3,0
MMP9,DYSF,0
MMP9,IL18R1,0
MMP9,TRPM2,0
MT-ND2,C1QA,0
MT-ND2,EREG,0
MX1,DDX60,0
MX1,HERC5,0
MX1,IFIT2,0
MX1,USP18,0
MX2,OAS2,0
MX2,OASL,0
Metazoa_SRP,FIGLA,0
Metazoa_SRP,NR6A1,0
NR6A1,EQTN,0
NR6A1,Metazoa_SRP,0
NTRK1,EREG,0
OAS1,IFIT2,0
OAS2,OAS3,0
OAS2,OASL,0
OAS3,AHDC1,0
OAS3,FOSB,0
OAS3,SIGLEC1,0
OAS3,TENM1,0
OAS3,TMPRSS2,0
OASL,XAF1,0
OLFM4,CHRNE,0
OLFM4,MMP1,0
