source,target,lag
ADAMDEC1,CLDN7,0
ADAMDEC1,LEPR,0
ADAMTS14,CLTCL1,0
AHDC1,IL2RA,0
ALPL,MARCO,0
ANPEP,DYSF,0
APOL2,GBP7,0
APOL6,GBP7,0
AREG,EREG,0
AREG,NTRK1,0
ATP9A,KCNH7,0
BMX,MCEMP1,0
BMX,ORM1,0
BMX,S100A12,0
BMX,S100A9,0
C1QA,LAPTM4B,0
CCR3,CPA3,0
CCR3,ZFPM2,0
CCR4,DENND5B,0
CHRNE,RNU6-1188P,0
CLC,EPX,0
CLC,LAPTM4B,0
CLDN7,CCR4,0
CLDN7,EPX,0
CLDN7,KCNMA1,0
CLDN7,MT-ND2,0
CLNK,LANCL3,0
CLTCL1,IL2RA,0
CRISPLD2,CLTCL1,0
CRISPLD2,DLG5,0
CRISPLD2,ENTPD3,0
CRISPLD2,IL18R1,0
CRISPLD2,MMP9,0
CSGALNACT1,ADGRG3,0
CSGALNACT1,CABLES2,0
CSGALNACT1,MMP1,0
CSGALNACT1,RNU6-1188P,0
CYP4F22,Metazoa_SRP,0
DDX60,IFI6,0
DDX60,MX2,0
DHX58,IRF7,0
DHX58,PML,0
DHX58,TRIM14,0
DLG5,LANCL3,0
DLG5,PLCD3,0
DSCC1,CLC,0
DSCC1,MT-ND2,0
DYSF,ALPL,0
DYSF,NR2E1,0
DYSF,OLFM4,0
DYSF,PGLYRP1,0
DYSF,TRPM2,0
EIF2AK2,KCTD14,0
EIF2AK2,OAS3,0
EIF2AK2,TMPRSS2,0
EQTN,FADS3,0
EREG,AREG,0
EREG,SIK1,0
FAM167B,BEX2,0
FAM167B,GLI1,0
FAM216B,OAS3,0
FAM216B,RNF213,0
FAM216B,SIGLEC1,0
FBXO39,FOSB,0
FBXO39,SIGLEC1,0
FGFBP2,TRDC,0
FIGLA,CYP4F22,0
FOSB,SIK1,0
GBP3,APOL6,0
GBP3,KCNMA1,0
GBP3,SPDYA,0
GBP7,APOL6,0
GBP7,BCL2L14,0
GLI1,BEX2,0
GLI1,IGHM,0
GZMB,COL11A1,0
GZMB,FGFBP2,0
GZMB,RORA,0
GZMB,TRDC,0
GZMB,U3,0
HMGN3,CLDN7,0
HSH2D,TENM1,0
HSH2D,TRIM6,0
IFI27,XAF1,0
IFI44,GZMB,0
IFI44,MX2,0
IFI44,TENM1,0
IFI44L,CLNK,0
IFI44L,IFI6,0
IFI44L,RIGI,0
IFI6,GZMB,0
IFIT2,IFI27,0
IFIT2,OAS1,0
IFIT2,PRF1,0
IFIT3,IFI44L,0
IFIT3,TRDC,0
IGHM,CDKN1C,0
IGHM,JCHAIN,0
IL18R1,CABLES2,0
IL18R1,CRISPLD2,0
IL18R1,CSGALNACT1,0
IL18RAP,ATP9A,0
IL18RAP,MMP10,0
IL18RAP,TRPM2,0
IRF7,GBP3,0
ISG15,IFI44,0
ISG15,IFIT2,0
ISG15,MX1,0
ISG15,OAS1,0
JCHAIN,IGHM,0
JCHAIN,LEPR,0
KCNH7,FAM167B,0
KCNH7,MARCO,0
KCNMA1,CCR4,0
KCTD14,NGFR,0
LEPR,JCHAIN,0
LEPR,YEATS4,0
LGALS3BP,RNF213,0
MCEMP1,IL18RAP,0
MCEMP1,PLAU,0
MCEMP1,YES1,0
MMP1,MMP8,0
MMP10,S100A8,0
MMP10,S100A9,0
MMP10,YES1,0
MMP8,CHRNE,0
MMP8,OLFM4,0
MMP9,CRISPLD2,0
MMP9,CST7,0
MMP9,DYSF,0
MMP9,PGLYRP1,0
MT-ND2,DSCC1,0
MX1,DDX60,0
MX1,IFI6,0
MX1,RIGI,0
Metazoa_SRP,FIGLA,0
NR6A1,EQTN,0
NR6A1,FBLN2,0
NR6A1,Metazoa_SRP,0
NR6A1,SLC16A1,0
NTRK1,FAM185A,0
OAS1,IFIT2,0
OAS1,IFIT3,0
OAS2,XAF1,0
OAS3,PML,0
OASL,EIF2AK2,0
OLFM4,CST7,0
OLFM4,MMP1,0
PAK3,BCL2L14,0
PDZD4,CCR4,0
PDZD4,GPR15,0
PGLYRP1,ENTPD3,0
PGLYRP1,ZNF423,0
PLAU,ALPL,0
PML,AHDC1,0
PML,LGALS3BP,0
PRF1,FGFBP2,0
PRF1,GZMB,0
PRSS33,FADS3,0
PRSS33,GLI1,0
RIGI,FGFBP2,0
RIGI,OAS1,0
RIGI,PRF1,0
RNF182,BEX2,0
RNF182,GLI1,0
RNF213,FAM216B,0
RNF213,KCTD14,0
RNF213,LGALS3BP,0
RNF213,NGFR,0
RNF213,SIGLEC1,0
RNF213,TRIM6,0
S100A12,FAM167B,0
S100A12,MARCO,0
S100A12,S100A8,0
S100A8,MCEMP1,0
S100A8,S100A12,0
S100A8,S100A9,0
S100A8,VNN2,0
S100A9,BMX,0
S100A9,MMP10,0
S100A9,S100A12,0
S100A9,TP53I11,0
S100A9,VNN1,0
S100A9,VNN2,0
SIGLEC1,AHDC1,0
SIGLEC1,FAM216B,0
SIGLEC1,FOSB,0
SLC16A1,DSCC1,0
SLC16A1,Metazoa_SRP,0
SPDYA,DDB1,0
TENM1,FBXO39,0
TMPRSS2,SIGLEC1,0
TP53I11,ADAMTS14,0
TP53I11,CXCL6,0
TP53I11,FADS3,0
TRDC,ZFPM2,0
TRIM14,DHX58,0
TRIM14,FAM216B,0
TRIM14,FBXO39,0
TRIM14,TRIM6,0
TRIM6,LGALS3BP,0
TRPM2,CST7,0
USP18,IFIT3,0
VNN1,IL18R1,0
XAF1,DHX58,0
XAF1,IFI27,0
XAF1,PAK3,0
ZFPM2,CCR3,0
ZFPM2,CLC,0
ZFPM2,CPA3,0
ZFPM2,SLC16A1,0
ADAMDEC1,IFI27,1
ADAMDEC1,MMP8,1
ADAMTS14,NTRK1,1
AHDC1,CCR4,1
ALPL,DHX58,1
ANPEP,PML,1
ARHGEF10,ADAMTS14,1
BEX2,ANPEP,1
BEX2,U3,1
C1QA,CPA3,1
CABLES2,ADAMDEC1,1
CABLES2,FZD4,1
CABLES2,GBP3,1
CABLES2,PRSS33,1
CABLES2,RNF182,1
CDKN1C,CLDN7,1
CDKN1C,CSGALNACT1,1
CDKN1C,EPX,1
CDKN1C,FIGLA,1
CDKN1C,IL18R1,1
CDKN1C,USP18,1
CLC,FLT1,1
CLNK,C1QA,1
CLNK,CLTCL1,1
CLTCL1,CLC,1
CTLA4,AREG,1
CTLA4,FAM167B,1
CTLA4,FGFBP2,1
CTLA4,RSAD2,1
CXCL6,SLC16A1,1
DDB1,CLC,1
DDB1,MT-ND2,1
DDB1,NTRK1,1
DDB1,PLCD3,1
DDB1,TP53I11,1
DLG5,S100A8,1
DYSF,CTLA4,1
EPX,IL2RA,1
FAM185A,CTLA4,1
FAM185A,PRSS33,1
FAM185A,RNF182,1
FBXO39,DENND5B,1
FBXO39,TP53I11,1
FLT1,HERC5,1
FLT1,TENM1,1
GPR15,AHDC1,1
GPR15,DSCC1,1
GPR15,LAPTM4B,1
GPR15,SPP1,1
HSH2D,ANPEP,1
IGHM,RNU6-1188P,1
IGHM,TMPRSS2,1
IL2RA,CCR3,1
IL2RA,DENND5B,1
IL2RA,GPR15,1
IL2RA,IL18RAP,1
IL2RA,PGLYRP1,1
IL2RA,TRPM2,1
IRF7,CST7,1
IRF7,OAS3,1
IRF7,VNN1,1
JCHAIN,COL11A1,1
JCHAIN,HERC5,1
JCHAIN,IFI44,1
JCHAIN,RIGI,1
JCHAIN,USP18,1
KCTD14,MT-ND2,1
KCTD14,NR6A1,1
KCTD14,TP53I11,1
LANCL3,CABLES2,1
LANCL3,CSGALNACT1,1
LANCL3,FBLN2,1
LANCL3,FIGLA,1
LANCL3,MMP10,1
LANCL3,NR6A1,1
LANCL3,RNU6-1188P,1
LAPTM4B,FZD4,1
LEPR,ALPL,1
LEPR,DYSF,1
LGALS3BP,VNN2,1
MMP1,ZFPM2,1
Metazoa_SRP,MMP1,1
NBL1,ADAMDEC1,1
NBL1,ADGRG3,1
NBL1,ATP9A,1
NBL1,CYP4F22,1
NBL1,ENTPD3,1
NBL1,HMGN3,1
NBL1,LANCL3,1
NBL1,VNN1,1
NGFR,AREG,1
NGFR,FADS3,1
NGFR,LYPD8,1
NR6A1,FLT1,1
NTRK1,DDB1,1
NTRK1,PDZD4,1
NTRK1,YES1,1
PAK3,ORM1,1
PRSS33,CYP4F22,1
PRSS33,GBP3,1
RNF182,PAK3,1
RNF213,MCEMP1,1
RNF213,S100A9,1
RORA,CHRNE,1
RORA,DDX60,1
RORA,FBXO39,1
RORA,HERC5,1
RORA,IFI27,1
RORA,IFI44,1
RORA,IFI44L,1
RORA,IRF7,1
RORA,ISG15,1
RORA,LGALS3BP,1
RORA,MX1,1
RORA,MX2,1
RORA,NGFR,1
RORA,OASL,1
RORA,PLCD3,1
RORA,PML,1
RORA,SPP1,1
RORA,TMPRSS2,1
RORA,TRIM14,1
RORA,USP18,1
RSAD2,CLNK,1
RSAD2,OASL,1
RSAD2,PCDH1,1
RSAD2,XAF1,1
SLC16A1,CTLA4,1
SLC16A1,PRSS33,1
SPDYA,RNF182,1
SPDYA,U3,1
TMPRSS2,BCL2L14,1
TMPRSS2,GBP7,1
TRDC,CLNK,1
TRDC,DDX60,1
TRDC,ISG15,1
TRDC,PRF1,1
TRDC,RSAD2,1
TRIM6,MMP8,1
TRIM6,MMP9,1
YES1,PAK3,1
ZNF423,MCEMP1,1
ADAMTS14,AREG,2
ADAMTS14,CLDN7,2
ADAMTS14,DDB1,2
ALPL,CXCL6,2
ANPEP,CXCL6,2
AREG,CTLA4,2
AREG,LYPD8,2
AREG,NR2E1,2
AREG,PRSS33,2
AREG,RNF182,2
ARHGEF10,BEX2,2
ARHGEF10,GBP3,2
ARHGEF10,IFIT2,2
ARHGEF10,IFIT3,2
ARHGEF10,KCNMA1,2
ARHGEF10,LYPD8,2
ARHGEF10,MARCO,2
ARHGEF10,MMP10,2
ARHGEF10,SPDYA,2
ARHGEF10,U3,2
BCL2L14,APOL2,2
BEX2,AHDC1,2
BEX2,ANPEP,2
BEX2,CHRNE,2
BEX2,DHX58,2
BEX2,EIF2AK2,2
BEX2,FBXO39,2
BEX2,GZMB,2
BEX2,HMGN3,2
BEX2,HSH2D,2
BEX2,IRF7,2
BEX2,OAS2,2
BEX2,OASL,2
BEX2,RNF213,2
BEX2,TENM1,2
BEX2,USP18,2
CABLES2,CHRNE,2
CDKN1C,CPA3,2
CDKN1C,OLFM4,2
CDKN1C,ZFPM2,2
CLC,COL11A1,2
CLC,DDX60,2
CLC,HSH2D,2
CLC,IFI44L,2
CLC,IFI6,2
CLC,IFIT2,2
CLC,IFIT3,2
CLC,ISG15,2
CLC,MX1,2
CLC,OAS2,2
CLC,OAS3,2
CLC,RIGI,2
CTLA4,NBL1,2
CXCL6,ATP9A,2
CXCL6,DYSF,2
CXCL6,LAPTM4B,2
CXCL6,RORA,2
CXCL6,TRPM2,2
