source,target,lag
ATP9A,FLT1,0
BMX,LYPD8,0
CLDN7,EPX,0
DHX58,TRIM14,0
DLG5,PLCD3,0
DYSF,PGLYRP1,0
GZMB,U3,0
HMGN3,CLDN7,0
HSH2D,TRIM6,0
IFI27,XAF1,0
IFI44,ISG15,0
ISG15,DDX60,0
ISG15,IFIT2,0
ISG15,MX1,0
MCEMP1,IL18RAP,0
NR6A1,FBLN2,0
OASL,XAF1,0
OLFM4,CHRNE,0
ORM1,FIGLA,0
PDZD4,CCR4,0
PGLYRP1,ENTPD3,0
PML,AHDC1,0
RNF182,GLI1,0
RNF213,LGALS3BP,0
S100A8,S100A12,0
S100A8,S100A9,0
TRPM2,CST7,0
USP18,IFIT3,0
ZFPM2,CLC,0
ADAMDEC1,MMP8,1
ADAMDEC1,OLFM4,1
ALPL,BEX2,1
BEX2,RORA,1
CABLES2,APOL6,1
CABLES2,C1QA,1
CLC,TRDC,1
DDB1,DSCC1,1
DDB1,MT-ND2,1
DDB1,NTRK1,1
DDB1,TP53I11,1
FAM185A,RNF182,1
FBXO39,DENND5B,1
GPR15,CABLES2,1
IL2RA,CCR3,1
JCHAIN,GLI1,1
KCNMA1,MARCO,1
LANCL3,ADGRG3,1
LANCL3,MMP10,1
LGALS3BP,VNN2,1
NBL1,ADGRG3,1
NBL1,DLG5,1
NBL1,ENTPD3,1
NBL1,LANCL3,1
NBL1,VNN1,1
NGFR,FADS3,1
NTRK1,YES1,1
PRSS33,GBP3,1
RORA,CHRNE,1
RORA,EIF2AK2,1
RORA,FBXO39,1
RORA,ISG15,1
RORA,KCTD14,1
RORA,OAS1,1
RORA,OAS3,1
RORA,OASL,1
RORA,PLCD3,1
RORA,PML,1
RORA,RIGI,1
RORA,TMPRSS2,1
RORA,TRIM14,1
RSAD2,CLNK,1
SLC16A1,CTLA4,1
SPDYA,ARHGEF10,1
TMPRSS2,GBP7,1
TRDC,RSAD2,1
TRIM6,MMP9,1
U3,CXCL6,1
ZNF423,MCEMP1,1
ADAMTS14,AREG,2
ADAMTS14,DDB1,2
ADAMTS14,GLI1,2
AHDC1,ARHGEF10,2
AREG,CTLA4,2
AREG,NR2E1,2
AREG,NTRK1,2
AREG,PRSS33,2
ARHGEF10,KCNMA1,2
ARHGEF10,RNF182,2
BCL2L14,APOL2,2
BEX2,AHDC1,2
BEX2,CHRNE,2
BEX2,FBXO39,2
BEX2,LGALS3BP,2
BEX2,OASL,2
BEX2,USP18,2
BEX2,YEATS4,2
BMX,RORA,2
CABLES2,U3,2
CDKN1C,ZFPM2,2
CLC,COL11A1,2
CLC,HERC5,2
CLC,IFI44L,2
CTLA4,NBL1,2
CXCL6,ATP9A,2
CXCL6,NR2E1,2
DENND5B,ATP9A,2
DENND5B,Metazoa_SRP,2
FAM167B,CSGALNACT1,2
FAM167B,HMGN3,2
FAM167B,IRF7,2
FAM185A,FOSB,2
FAM185A,GBP7,2
FAM185A,MX2,2
FAM185A,PLCD3,2
FAM185A,SLC16A1,2
FIGLA,ARHGEF10,2
GBP7,FIGLA,2
GBP7,MMP1,2
GLI1,PGLYRP1,2
GPR15,ADAMDEC1,2
GPR15,LEPR,2
IGHM,TENM1,2
IL18RAP,IGHM,2
LANCL3,PRSS33,2
LGALS3BP,FAM167B,2
NBL1,FZD4,2
NBL1,IL18RAP,2
NBL1,PDZD4,2
NR6A1,ANPEP,2
NTRK1,ZNF423,2
ORM1,ALPL,2
PAK3,CSGALNACT1,2
RORA,ADAMTS14,2
RORA,CST7,2
RORA,LYPD8,2
RORA,NR2E1,2
RORA,YEATS4,2
TRDC,RSAD2,2
