source,target,lag,count_runs,freq
IGHM,TRIM14,2,5,0.5
IFI6,HERC5,0,5,0.5
CTLA4,FAM167B,1,5,0.5
ARHGEF10,IFIT3,2,5,0.5
RORA,TP53I11,2,5,0.5
ZFPM2,CCR3,0,5,0.5
CLC,ZFPM2,0,5,0.5
FAM185A,IRF7,2,5,0.5
BEX2,OAS3,2,5,0.5
CXCL6,ENTPD3,2,5,0.5
APOL2,GBP7,0,5,0.5
NR6A1,JCHAIN,2,5,0.5
NGFR,CDKN1C,2,5,0.5
DYSF,TRPM2,0,5,0.5
RORA,IFI27,1,5,0.5
GLI1,CSGALNACT1,2,5,0.5
TRIM14,FAM216B,0,5,0.5
CYP4F22,IL2RA,1,5,0.5
FIGLA,CYP4F22,0,5,0.5
RORA,APOL2,2,5,0.5
ARHGEF10,NGFR,2,5,0.5
TRDC,CLNK,2,5,0.5
FLT1,JCHAIN,0,5,0.5
CLC,IFIT3,2,5,0.5
CXCL6,ZNF423,2,5,0.5
NBL1,OLFM4,2,5,0.5
IGHM,RNU6-1188P,1,5,0.5
OAS3,HSH2D,0,5,0.5
RORA,IFI6,1,5,0.5
DDB1,LAPTM4B,1,5,0.5
DDB1,KCNH7,2,5,0.5
MX1,DDX60,0,5,0.5
CLNK,C1QA,1,5,0.5
TRDC,IFI44,2,5,0.5
ORM1,FLT1,2,5,0.5
RORA,SIK1,1,5,0.5
MX1,IFIT2,0,5,0.5
IFI44,CLNK,0,5,0.5
ZFPM2,USP18,2,5,0.5
GBP7,APOL6,0,5,0.5
LYPD8,KCNH7,0,5,0.5
TRIM14,DHX58,0,5,0.5
IL18R1,CYP4F22,0,5,0.5
PLCD3,MCEMP1,1,5,0.5
ENTPD3,VNN1,0,5,0.5
DDX60,ISG15,0,5,0.5
RORA,MX1,1,5,0.5
RORA,HERC5,1,5,0.5
OAS1,IFIT2,0,5,0.5
JCHAIN,OAS1,1,5,0.5
BEX2,ANPEP,2,5,0.5
RNF182,PAK3,1,5,0.5
ZNF423,EREG,1,5,0.5
GZMB,PRF1,0,5,0.5
SPDYA,U3,1,5,0.5
PDZD4,GPR15,0,5,0.5
RNF213,MCEMP1,1,5,0.5
TRIM6,MMP8,1,5,0.5
PLAU,ALPL,0,5,0.5
LEPR,YEATS4,0,5,0.5
RORA,IFI44,1,5,0.5
NGFR,KCTD14,0,5,0.5
IFI6,GZMB,0,5,0.5
ADAMDEC1,CDKN1C,0,5,0.5
IFI44,TENM1,0,5,0.5
S100A9,BMX,0,5,0.5
NBL1,IL18R1,1,5,0.5
GLI1,MMP9,2,5,0.5
CRISPLD2,CHRNE,0,5,0.5
EIF2AK2,FAM216B,0,5,0.5
GPR15,DSCC1,2,5,0.5
MMP1,RNU6-1188P,0,5,0.5
JCHAIN,RIGI,1,5,0.5
BEX2,ANPEP,1,5,0.5
MX2,OASL,0,5,0.5
GBP3,APOL6,0,5,0.5
CXCL6,ANPEP,2,5,0.5
SLC16A1,PRSS33,1,5,0.5
MX2,DHX58,0,5,0.5
LANCL3,PDZD4,1,5,0.5
PRSS33,IL2RA,2,5,0.5
IL2RA,MMP9,1,5,0.5
CLC,RIGI,2,5,0.5
S100A8,VNN2,0,5,0.5
IL18RAP,TRPM2,0,5,0.5
OLFM4,MMP1,0,5,0.5
CABLES2,PRSS33,1,5,0.5
RNF213,FAM216B,0,5,0.5
CLC,IFIT2,2,5,0.5
NTRK1,FAM185A,2,5,0.5
KCTD14,NGFR,0,5,0.5
RORA,MX2,1,5,0.5
GPR15,SPP1,1,5,0.5
ALPL,MARCO,0,5,0.5
ADAMTS14,CLDN7,2,5,0.5
RORA,FBLN2,2,5,0.5
FAM216B,RNF213,0,5,0.5
AREG,NTRK1,0,5,0.5
RORA,SIGLEC1,1,5,0.5
MMP10,S100A9,0,5,0.5
LANCL3,KCNMA1,1,5,0.5
NBL1,CPA3,2,5,0.5
PAK3,CLDN7,2,5,0.5
CABLES2,FZD4,1,5,0.5
CDKN1C,MMP1,1,5,0.5
FAM216B,SIGLEC1,0,5,0.5
RORA,IRF7,1,5,0.5
RORA,DENND5B,2,5,0.5
ZFPM2,GZMB,2,5,0.5
CSGALNACT1,CABLES2,0,5,0.5
MMP9,DYSF,0,5,0.5
IFI6,PCDH1,0,5,0.5
PAK3,CYP4F22,2,5,0.5
PRSS33,EPX,1,5,0.5
CXCL6,TRPM2,2,5,0.5
CRISPLD2,IL18R1,0,5,0.5
MMP9,PGLYRP1,0,5,0.5
TRDC,GZMB,1,4,0.4
SPDYA,CLTCL1,2,4,0.4
IFI44L,PRF1,0,4,0.4
ORM1,EPX,1,4,0.4
CABLES2,CLTCL1,1,4,0.4
GBP3,PCDH1,2,4,0.4
ARHGEF10,EREG,2,4,0.4
NBL1,FBLN2,2,4,0.4
NBL1,CCR4,2,4,0.4
EPX,CDKN1C,1,4,0.4
ADGRG3,CRISPLD2,0,4,0.4
IFI44L,IFI44,0,4,0.4
TRDC,ZFPM2,0,4,0.4
C1QA,CCR4,0,4,0.4
BEX2,DYSF,1,4,0.4
AREG,RNF182,2,4,0.4
MCEMP1,ATP9A,0,4,0.4
NBL1,CRISPLD2,1,4,0.4
PRF1,FGFBP2,0,4,0.4
CXCL6,DSCC1,2,4,0.4
GBP3,RORA,2,4,0.4
MCEMP1,S100A8,0,4,0.4
PLCD3,FAM167B,2,4,0.4
ARHGEF10,SPDYA,2,4,0.4
TP53I11,FADS3,0,4,0.4
BCL2L14,SPP1,0,4,0.4
DHX58,IRF7,0,4,0.4
NR6A1,Metazoa_SRP,0,4,0.4
IGHM,IFI6,1,4,0.4
SIK1,APOL2,1,4,0.4
NBL1,IRF7,1,4,0.4
CLTCL1,CXCL6,0,4,0.4
PAK3,ADGRG3,2,4,0.4
BEX2,SPP1,2,4,0.4
CXCL6,LYPD8,2,4,0.4
TMPRSS2,BCL2L14,1,4,0.4
OASL,MX2,0,4,0.4
NR6A1,SLC16A1,0,4,0.4
CRISPLD2,RNU6-1188P,0,4,0.4
RORA,OAS2,1,4,0.4
CLC,ISG15,2,4,0.4
CCR3,CPA3,0,4,0.4
FAM167B,ADAMDEC1,2,4,0.4
FGFBP2,DLG5,2,4,0.4
BEX2,LEPR,2,4,0.4
TP53I11,ADAMTS14,0,4,0.4
FAM167B,CLTCL1,2,4,0.4
S100A12,YES1,0,4,0.4
ARHGEF10,MMP10,2,4,0.4
C1QA,LAPTM4B,0,4,0.4
ZFPM2,FBXO39,2,4,0.4
CTLA4,EREG,0,4,0.4
SIGLEC1,RNF213,0,4,0.4
ARHGEF10,SIK1,2,4,0.4
PAK3,PDZD4,2,4,0.4
S100A12,S100A8,0,4,0.4
SPP1,NR6A1,0,4,0.4
ADGRG3,IL18R1,0,4,0.4
ARHGEF10,U3,2,4,0.4
DENND5B,PLAU,1,4,0.4
PGLYRP1,CRISPLD2,0,4,0.4
XAF1,DHX58,0,4,0.4
DYSF,OLFM4,0,4,0.4
NBL1,TRPM2,2,4,0.4
MX1,HERC5,0,4,0.4
IFI6,IFI44,0,4,0.4
MX2,MX1,0,4,0.4
NR2E1,FOSB,1,4,0.4
