source,target,lag,count_runs,freq
PLAU,MARCO,0,3,0.3
IFIT2,MX1,0,3,0.3
ADAMTS14,TP53I11,0,3,0.3
DDB1,LYPD8,1,3,0.3
CCR3,EPX,0,3,0.3
ARHGEF10,CCR4,2,3,0.3
ARHGEF10,PRSS33,2,3,0.3
CDKN1C,EPX,1,3,0.3
NBL1,S100A9,2,3,0.3
PGLYRP1,MMP9,0,3,0.3
FBXO39,ADAMTS14,1,3,0.3
FOSB,LANCL3,2,3,0.3
FBXO39,FOSB,0,3,0.3
TRIM14,EIF2AK2,0,3,0.3
LANCL3,IGHM,1,3,0.3
RIGI,IFI44L,0,3,0.3
LEPR,LAPTM4B,0,3,0.3
IL18RAP,MMP10,0,3,0.3
NR2E1,KCNH7,0,3,0.3
IGHM,FLT1,0,3,0.3
GPR15,JCHAIN,2,3,0.3
RORA,CPA3,1,3,0.3
RNF213,IL18RAP,1,3,0.3
CHRNE,AHDC1,0,3,0.3
VNN2,S100A8,0,3,0.3
U3,NGFR,1,3,0.3
APOL2,SPP1,0,3,0.3
CRISPLD2,CSGALNACT1,0,3,0.3
ARHGEF10,SLC16A1,2,3,0.3
CYP4F22,Metazoa_SRP,0,3,0.3
NBL1,KCNH7,1,3,0.3
AREG,PDZD4,0,3,0.3
XAF1,IFI27,0,3,0.3
MMP10,S100A8,0,3,0.3
FLT1,GLI1,2,3,0.3
BEX2,DDX60,2,3,0.3
MCEMP1,ALPL,0,3,0.3
DDB1,PLAU,2,3,0.3
SPDYA,AREG,1,3,0.3
FLT1,IGHM,0,3,0.3
FAM167B,CLNK,1,3,0.3
OAS2,TRIM14,0,3,0.3
TRIM14,OAS2,0,3,0.3
FAM167B,HSH2D,2,3,0.3
BEX2,SIGLEC1,2,3,0.3
GPR15,JCHAIN,1,3,0.3
DLG5,S100A9,1,3,0.3
GPR15,HMGN3,2,3,0.3
SLC16A1,Metazoa_SRP,0,3,0.3
SIGLEC1,BMX,1,3,0.3
DYSF,ALPL,0,3,0.3
ARHGEF10,CABLES2,1,3,0.3
CDKN1C,HMGN3,1,3,0.3
APOL2,BCL2L14,0,3,0.3
TRIM14,HSH2D,0,3,0.3
RORA,NGFR,1,3,0.3
RORA,DLG5,1,3,0.3
PLCD3,NBL1,0,3,0.3
SLC16A1,NR2E1,1,3,0.3
PRSS33,CCR3,1,3,0.3
AHDC1,FBLN2,1,3,0.3
DDX60,IFI27,0,3,0.3
CLTCL1,ORM1,0,3,0.3
RORA,EQTN,1,3,0.3
NR6A1,RNU6-1188P,1,3,0.3
TRDC,FGFBP2,0,3,0.3
LYPD8,ADAMTS14,0,3,0.3
EQTN,YEATS4,0,3,0.3
IL2RA,TRPM2,1,3,0.3
APOL2,FLT1,1,3,0.3
COL11A1,TRDC,0,3,0.3
ANPEP,YEATS4,1,3,0.3
IRF7,DLG5,1,3,0.3
CXCL6,NBL1,0,3,0.3
GBP7,APOL2,0,3,0.3
SPDYA,RNF182,1,3,0.3
SIGLEC1,FAM216B,0,3,0.3
ADGRG3,MMP8,0,3,0.3
TRIM6,LANCL3,0,3,0.3
DDB1,TRIM6,1,3,0.3
ADAMDEC1,U3,1,3,0.3
KCTD14,TP53I11,1,3,0.3
MMP10,YES1,0,3,0.3
CRISPLD2,CLTCL1,0,3,0.3
PGLYRP1,ZNF423,0,3,0.3
RORA,VNN1,2,3,0.3
AHDC1,SPP1,1,3,0.3
PRSS33,RNF182,0,3,0.3
DDB1,ZNF423,1,3,0.3
JCHAIN,RSAD2,1,3,0.3
RIGI,FGFBP2,0,3,0.3
SPP1,CLC,0,3,0.3
RORA,CLTCL1,2,3,0.3
MCEMP1,S100A12,0,3,0.3
RORA,GBP7,2,3,0.3
IFI6,ISG15,0,3,0.3
SPDYA,DSCC1,2,3,0.3
TRIM14,TRIM6,0,3,0.3
ARHGEF10,NR6A1,2,3,0.3
BEX2,CLC,2,3,0.3
TRPM2,ATP9A,0,3,0.3
SIGLEC1,LGALS3BP,0,3,0.3
NR6A1,PML,2,3,0.3
NBL1,FIGLA,2,3,0.3
BEX2,TENM1,2,3,0.3
BEX2,FOSB,2,3,0.3
MT-ND2,CHRNE,1,3,0.3
CABLES2,BEX2,1,3,0.3
DDB1,SPDYA,2,3,0.3
BMX,ORM1,0,3,0.3
RORA,IFIT3,1,3,0.3
NGFR,LYPD8,1,3,0.3
FLT1,HERC5,1,3,0.3
RIGI,IFIT2,0,3,0.3
GPR15,S100A12,2,3,0.3
EIF2AK2,DHX58,0,3,0.3
BMX,ADGRG3,0,3,0.3
DYSF,NR2E1,0,3,0.3
CLC,OAS3,2,3,0.3
CRISPLD2,ENTPD3,0,3,0.3
PRF1,COL11A1,0,3,0.3
OAS3,SIGLEC1,0,3,0.3
TRIM14,FBXO39,0,3,0.3
TENM1,FOSB,0,3,0.3
IGHM,IFIT3,2,3,0.3
EPX,CPA3,0,3,0.3
YES1,PAK3,1,3,0.3
RORA,HMGN3,1,3,0.3
SLC16A1,DDB1,0,3,0.3
HMGN3,DENND5B,0,3,0.3
GPR15,JCHAIN,0,3,0.3
BEX2,FAM216B,2,3,0.3
CRISPLD2,DLG5,0,3,0.3
IFIT3,RSAD2,0,3,0.3
LYPD8,TP53I11,0,3,0.3
ARHGEF10,IFIT2,2,3,0.3
PCDH1,LANCL3,0,3,0.3
DDB1,IRF7,1,3,0.3
S100A9,MCEMP1,0,3,0.3
IFI6,USP18,0,3,0.3
BEX2,GZMB,2,3,0.3
KCTD14,APOL2,2,3,0.3
ARHGEF10,GBP3,2,3,0.3
YEATS4,LEPR,0,3,0.3
SLC16A1,SIK1,2,3,0.3
LANCL3,CCR4,1,3,0.3
IFI44L,IFIT3,0,3,0.3
FGFBP2,LANCL3,2,3,0.3
CLC,CCR3,0,3,0.3
RSAD2,XAF1,1,3,0.3
CXCL6,GPR15,2,3,0.3
ANPEP,CXCL6,2,3,0.3
TRPM2,ALPL,0,3,0.3
ATP9A,KCNH7,0,3,0.3
MX1,USP18,0,3,0.3
BEX2,DHX58,2,3,0.3
PRSS33,FADS3,0,3,0.3
NBL1,ATP9A,2,3,0.3
GBP3,CCR3,0,3,0.3
IFIT3,IFIT2,0,3,0.3
FLT1,JCHAIN,1,3,0.3
ADGRG3,FAM167B,0,3,0.3
FAM167B,BEX2,0,3,0.3
PLAU,VNN2,0,3,0.3
S100A9,MMP10,0,3,0.3
RNF182,BEX2,0,3,0.3
PML,RNF213,0,3,0.3
GPR15,EPX,1,3,0.3
ADAMTS14,RNF182,2,3,0.3
ISG15,IFI44L,0,3,0.3
JCHAIN,HERC5,1,3,0.3
LANCL3,Metazoa_SRP,1,3,0.3
ARHGEF10,GZMB,2,3,0.3
CDKN1C,CSGALNACT1,1,3,0.3
CABLES2,CHRNE,2,3,0.3
CDKN1C,FLT1,0,3,0.3
BEX2,TRIM14,2,3,0.3
FADS3,CABLES2,2,3,0.3
NTRK1,PAK3,2,3,0.3
ORM1,CLTCL1,0,3,0.3
Metazoa_SRP,CYP4F22,0,3,0.3
DENND5B,C1QA,0,3,0.3
C1QA,ADAMDEC1,0,3,0.3
CLNK,LANCL3,0,3,0.3
ARHGEF10,OAS1,2,3,0.3
NBL1,LYPD8,1,3,0.3
PRSS33,CDKN1C,2,3,0.3
TRIM6,IL2RA,0,3,0.3
GZMB,FGFBP2,0,3,0.3
DDB1,SLC16A1,0,3,0.3
NR2E1,ZNF423,0,3,0.3
S100A8,MCEMP1,0,3,0.3
IFI27,U3,0,3,0.3
FADS3,FAM167B,1,3,0.3
APOL2,FBLN2,0,3,0.3
NGFR,FLT1,2,3,0.3
S100A9,S100A12,0,3,0.3
PRSS33,CYP4F22,1,3,0.3
AHDC1,LAPTM4B,1,3,0.3
OAS2,DHX58,0,3,0.3
FLT1,MARCO,0,3,0.3
ZFPM2,SLC16A1,0,3,0.3
RNF213,KCTD14,0,3,0.3
ARHGEF10,DDB1,2,3,0.3
TRDC,MX1,1,3,0.3
TRIM6,PAK3,0,3,0.3
APOL6,GBP3,0,3,0.3
CLC,EPX,0,3,0.3
RORA,IL18RAP,2,3,0.3
FBXO39,SIGLEC1,0,3,0.3
IFIT3,IFI27,0,3,0.3
IL18RAP,YES1,0,3,0.3
KCNMA1,CCR4,0,3,0.3
DDB1,PDZD4,2,3,0.3
CPA3,DENND5B,0,3,0.3
EPX,CCR3,0,3,0.3
JCHAIN,LEPR,0,3,0.3
CST7,OLFM4,0,3,0.3
NGFR,ZFPM2,2,3,0.3
GPR15,IL2RA,2,3,0.3
DLG5,S100A8,1,3,0.3
APOL2,APOL6,0,3,0.3
YES1,FAM185A,2,3,0.3
MX1,RIGI,0,3,0.3
LEPR,JCHAIN,0,3,0.3
DYSF,CYP4F22,2,3,0.3
NR6A1,GPR15,2,3,0.3
IFI44L,HERC5,0,3,0.3
GPR15,CDKN1C,2,3,0.3
LYPD8,ZNF423,0,3,0.3
BEX2,HSH2D,2,3,0.3
MX2,TMPRSS2,0,3,0.3
PLAU,BEX2,1,3,0.3
FBLN2,Metazoa_SRP,0,3,0.3
ARHGEF10,MARCO,2,3,0.3
ZNF423,APOL2,2,3,0.3
SLC16A1,DSCC1,0,3,0.3
CHRNE,RNU6-1188P,0,3,0.3
IL18R1,CABLES2,0,3,0.3
USP18,PCDH1,0,2,0.2
SPP1,DENND5B,2,2,0.2
NR6A1,TMPRSS2,2,2,0.2
AHDC1,CABLES2,0,2,0.2
ORM1,AHDC1,1,2,0.2
PGLYRP1,ANPEP,0,2,0.2
IFI44L,IFIT2,0,2,0.2
FLT1,GZMB,1,2,0.2
MMP9,CST7,0,2,0.2
NBL1,PLCD3,1,2,0.2
EIF2AK2,OAS2,0,2,0.2
RIGI,IFI44,0,2,0.2
Metazoa_SRP,CABLES2,0,2,0.2
GLI1,IL2RA,1,2,0.2
SPP1,CABLES2,2,2,0.2
MMP9,CHRNE,0,2,0.2
RORA,FADS3,2,2,0.2
DDB1,NR2E1,2,2,0.2
FAM185A,LGALS3BP,2,2,0.2
CDKN1C,IGHM,0,2,0.2
GPR15,YEATS4,1,2,0.2
COL11A1,CLNK,0,2,0.2
NBL1,MMP10,2,2,0.2
GBP7,CCR4,2,2,0.2
GPR15,CLDN7,1,2,0.2
ALPL,GPR15,1,2,0.2
FAM167B,PRSS33,0,2,0.2
SLC16A1,NR6A1,0,2,0.2
FAM185A,COL11A1,2,2,0.2
PRSS33,BEX2,0,2,0.2
NBL1,PGLYRP1,1,2,0.2
IFIT2,IFIT3,0,2,0.2
VNN1,S100A9,0,2,0.2
KCNMA1,NGFR,0,2,0.2
YEATS4,CXCL6,1,2,0.2
ISG15,CLNK,0,2,0.2
IGHM,GLI1,0,2,0.2
OAS2,XAF1,0,2,0.2
BEX2,HMGN3,2,2,0.2
CPA3,CCR3,0,2,0.2
VNN1,ADGRG3,0,2,0.2
OAS2,EIF2AK2,0,2,0.2
FAM185A,NTRK1,0,2,0.2
JCHAIN,IFI27,1,2,0.2
CABLES2,MARCO,1,2,0.2
IL18RAP,MCEMP1,0,2,0.2
DDB1,ADAMTS14,1,2,0.2
GPR15,SPP1,2,2,0.2
FGFBP2,DENND5B,2,2,0.2
BEX2,FLT1,1,2,0.2
FAM185A,FGFBP2,1,2,0.2
CCR3,SPDYA,0,2,0.2
EQTN,BEX2,0,2,0.2
RORA,CLC,1,2,0.2
BEX2,U3,1,2,0.2
KCTD14,SIK1,0,2,0.2
TRPM2,ENTPD3,0,2,0.2
RORA,MCEMP1,2,2,0.2
RORA,SLC16A1,1,2,0.2
FAM216B,NGFR,0,2,0.2
XAF1,OASL,0,2,0.2
ARHGEF10,APOL2,1,2,0.2
RORA,IFIT2,1,2,0.2
FADS3,NR6A1,0,2,0.2
C1QA,HMGN3,0,2,0.2
TP53I11,CLTCL1,0,2,0.2
ADAMTS14,MARCO,1,2,0.2
RNU6-1188P,ALPL,2,2,0.2
EIF2AK2,TRIM14,0,2,0.2
JCHAIN,TENM1,1,2,0.2
IFIT3,USP18,0,2,0.2
CLC,TRDC,2,2,0.2
NTRK1,AREG,0,2,0.2
TRIM6,NR2E1,1,2,0.2
OAS2,OAS3,0,2,0.2
BEX2,ISG15,2,2,0.2
CTLA4,RSAD2,1,2,0.2
FADS3,EQTN,0,2,0.2
SPP1,EQTN,0,2,0.2
IGHM,FAM216B,2,2,0.2
ADAMTS14,IL18RAP,2,2,0.2
TRDC,RIGI,1,2,0.2
LAPTM4B,LEPR,0,2,0.2
SPDYA,Metazoa_SRP,1,2,0.2
MCEMP1,BMX,0,2,0.2
Metazoa_SRP,DDB1,0,2,0.2
JCHAIN,IFI44L,1,2,0.2
IFI44L,FGFBP2,0,2,0.2
DENND5B,VNN1,2,2,0.2
FLT1,IFI44L,1,2,0.2
ADGRG3,KCNH7,0,2,0.2
CSGALNACT1,FIGLA,0,2,0.2
MMP9,IL18R1,0,2,0.2
NR6A1,RNF213,2,2,0.2
FAM167B,ADGRG3,2,2,0.2
SPDYA,SLC16A1,0,2,0.2
BCL2L14,FBLN2,0,2,0.2
COL11A1,GZMB,0,2,0.2
GPR15,AHDC1,1,2,0.2
FAM167B,YES1,1,2,0.2
LANCL3,ORM1,1,2,0.2
IGHM,ISG15,2,2,0.2
CLNK,PAK3,0,2,0.2
IL18RAP,ATP9A,0,2,0.2
RORA,ALPL,2,2,0.2
AREG,LYPD8,2,2,0.2
YEATS4,GPR15,2,2,0.2
PGLYRP1,DLG5,0,2,0.2
FIGLA,CHRNE,1,2,0.2
NGFR,MMP10,1,2,0.2
XAF1,GBP7,0,2,0.2
IFI44,COL11A1,0,2,0.2
TRDC,IFI27,2,2,0.2
OAS2,IRF7,0,2,0.2
TRDC,FOSB,1,2,0.2
LANCL3,RNU6-1188P,1,2,0.2
OASL,TRIM14,0,2,0.2
CCR4,GPR15,0,2,0.2
CDKN1C,IL18R1,1,2,0.2
GPR15,TRDC,1,2,0.2
MCEMP1,S100A9,0,2,0.2
PLCD3,DLG5,0,2,0.2
ISG15,MX2,0,2,0.2
FADS3,PLAU,2,2,0.2
TRDC,COL11A1,1,2,0.2
NR2E1,NBL1,2,2,0.2
RSAD2,TRIM14,1,2,0.2
FAM185A,OAS2,2,2,0.2
ENTPD3,CRISPLD2,0,2,0.2
ISG15,PCDH1,0,2,0.2
DENND5B,MT-ND2,0,2,0.2
AREG,GBP7,1,2,0.2
CXCL6,SPDYA,1,2,0.2
DDX60,HSH2D,0,2,0.2
TRIM6,ENTPD3,1,2,0.2
NR2E1,LYPD8,0,2,0.2
ADAMDEC1,CPA3,1,2,0.2
CDKN1C,HMGN3,0,2,0.2
ADGRG3,CSGALNACT1,0,2,0.2
CABLES2,FADS3,2,2,0.2
MMP9,VNN1,0,2,0.2
CXCL6,NTRK1,2,2,0.2
MX1,IFI44L,0,2,0.2
C1QA,KCNMA1,0,2,0.2
TRIM14,IRF7,0,2,0.2
SPP1,LAPTM4B,0,2,0.2
CRISPLD2,PLCD3,0,2,0.2
NBL1,TRIM6,1,2,0.2
AHDC1,YES1,1,2,0.2
MX2,EIF2AK2,0,2,0.2
NR6A1,YEATS4,2,2,0.2
TMPRSS2,PAK3,1,2,0.2
MMP9,CSGALNACT1,0,2,0.2
USP18,XAF1,1,2,0.2
ARHGEF10,C1QA,2,2,0.2
ISG15,IFI44,0,2,0.2
VNN1,TP53I11,0,2,0.2
RORA,FIGLA,2,2,0.2
JCHAIN,YEATS4,0,2,0.2
SIGLEC1,OAS3,0,2,0.2
EQTN,LEPR,0,2,0.2
TRIM14,PML,0,2,0.2
ARHGEF10,Metazoa_SRP,2,2,0.2
SPDYA,PRF1,1,2,0.2
TRDC,IFIT3,1,2,0.2
MX1,IFI44,0,2,0.2
VNN1,BMX,0,2,0.2
NR6A1,DLG5,2,2,0.2
ANPEP,FADS3,1,2,0.2
MMP1,CABLES2,0,2,0.2
GBP3,CLC,0,2,0.2
COL11A1,RORA,0,2,0.2
BEX2,RNF182,0,2,0.2
FAM167B,EREG,2,2,0.2
CDKN1C,TENM1,1,2,0.2
ENTPD3,TRPM2,0,2,0.2
BEX2,MMP10,2,2,0.2
U3,CTLA4,2,2,0.2
FAM185A,XAF1,2,2,0.2
APOL6,APOL2,0,2,0.2
FAM185A,OASL,2,2,0.2
CLC,XAF1,2,2,0.2
TP53I11,ZNF423,0,2,0.2
RIGI,OAS1,0,2,0.2
ISG15,HERC5,0,2,0.2
JCHAIN,IFI6,1,2,0.2
CSGALNACT1,RNU6-1188P,0,2,0.2
NTRK1,PDZD4,1,2,0.2
IL2RA,DENND5B,1,2,0.2
BEX2,CYP4F22,1,2,0.2
MMP9,PLCD3,0,2,0.2
PDZD4,EPX,0,2,0.2
CLTCL1,NBL1,0,2,0.2
DLG5,LANCL3,0,2,0.2
SLC16A1,BCL2L14,1,2,0.2
CDKN1C,CABLES2,1,2,0.2
NR6A1,SPP1,0,2,0.2
NGFR,NR6A1,1,2,0.2
FBLN2,BCL2L14,0,2,0.2
ENTPD3,LYPD8,0,2,0.2
S100A12,VNN2,0,2,0.2
FAM216B,EIF2AK2,0,2,0.2
AHDC1,LEPR,1,2,0.2
LEPR,ADAMDEC1,0,2,0.2
NR2E1,PRSS33,0,2,0.2
APOL2,GBP3,0,2,0.2
BEX2,XAF1,2,2,0.2
BCL2L14,CDKN1C,1,2,0.2
IGHM,RNF213,2,2,0.2
LAPTM4B,SPP1,0,2,0.2
ENTPD3,ANPEP,0,2,0.2
RORA,CCR4,2,2,0.2
RSAD2,RORA,0,2,0.2
FAM167B,TRIM6,2,2,0.2
FGFBP2,NTRK1,0,2,0.2
CLDN7,C1QA,0,2,0.2
FAM216B,PML,0,2,0.2
KCNH7,IGHM,0,2,0.2
CABLES2,CPA3,2,2,0.2
GBP7,GBP3,0,2,0.2
IFI44,MX2,0,2,0.2
MARCO,RORA,1,2,0.2
NTRK1,IL18RAP,1,2,0.2
S100A8,YES1,0,2,0.2
BCL2L14,APOL2,0,2,0.2
RSAD2,PCDH1,1,2,0.2
MT-ND2,FZD4,1,2,0.2
DSCC1,LAPTM4B,0,2,0.2
IFI44,RSAD2,0,2,0.2
NR6A1,FAM216B,2,2,0.2
SPDYA,GLI1,1,2,0.2
HMGN3,GPR15,0,2,0.2
NR6A1,SIK1,2,2,0.2
LANCL3,CABLES2,1,2,0.2
JCHAIN,CXCL6,1,2,0.2
MT-ND2,DSCC1,0,2,0.2
IRF7,BCL2L14,0,2,0.2
IGHM,OAS3,2,2,0.2
PAK3,FBXO39,1,2,0.2
RIGI,COL11A1,0,2,0.2
PLAU,FLT1,2,2,0.2
IFI44L,USP18,0,2,0.2
CXCL6,EREG,2,2,0.2
OAS3,TENM1,0,2,0.2
ARHGEF10,FGFBP2,2,2,0.2
BMX,S100A9,0,2,0.2
SIGLEC1,AHDC1,0,2,0.2
TRDC,ISG15,1,2,0.2
IGHM,OAS1,2,2,0.2
ANPEP,AHDC1,1,2,0.2
LANCL3,MT-ND2,2,2,0.2
RORA,CXCL6,2,2,0.2
IL2RA,LGALS3BP,1,2,0.2
ZNF423,RNF182,1,2,0.2
IFIT3,TRDC,0,2,0.2
ALPL,CXCL6,2,2,0.2
FBLN2,SPP1,0,2,0.2
HERC5,COL11A1,0,2,0.2
NBL1,CHRNE,1,2,0.2
LYPD8,FAM167B,0,2,0.2
RORA,RNF213,1,2,0.2
GPR15,APOL6,2,2,0.2
ADAMTS14,FADS3,0,2,0.2
CABLES2,RNF182,1,2,0.2
FLT1,GLI1,0,2,0.2
RNF213,TP53I11,1,2,0.2
NGFR,VNN2,1,2,0.2
KCNH7,LYPD8,0,2,0.2
NR6A1,ZFPM2,1,2,0.2
PRF1,TRDC,0,2,0.2
APOL2,RNU6-1188P,2,2,0.2
BMX,MMP10,0,2,0.2
Metazoa_SRP,FIGLA,0,2,0.2
ARHGEF10,NTRK1,2,2,0.2
NR6A1,TRIM14,2,2,0.2
CLDN7,ADAMDEC1,0,2,0.2
IGHM,JCHAIN,0,2,0.2
DYSF,CTLA4,1,2,0.2
EQTN,SPDYA,2,2,0.2
ADAMTS14,KCNMA1,2,2,0.2
CCR4,PDZD4,0,2,0.2
GPR15,FZD4,2,2,0.2
ARHGEF10,IFI44L,2,2,0.2
RORA,SPDYA,1,2,0.2
JCHAIN,MARCO,0,2,0.2
JCHAIN,IGHM,0,2,0.2
CLC,SPDYA,0,2,0.2
CTLA4,DDB1,2,2,0.2
RORA,CLNK,1,2,0.2
CLTCL1,ADAMTS14,0,2,0.2
IL18R1,ADGRG3,0,2,0.2
FAM185A,DSCC1,0,2,0.2
CXCL6,DLG5,2,2,0.2
CLC,EIF2AK2,2,2,0.2
HERC5,HSH2D,0,2,0.2
CDKN1C,FIGLA,1,2,0.2
MMP9,TRPM2,0,2,0.2
FGFBP2,FAM185A,0,2,0.2
NBL1,CST7,2,2,0.2
CABLES2,FZD4,2,2,0.2
SPP1,GPR15,2,2,0.2
SPP1,FBLN2,0,2,0.2
OAS3,FOSB,0,2,0.2
HERC5,TENM1,0,2,0.2
NBL1,CYP4F22,2,2,0.2
MX2,OAS2,0,2,0.2
CYP4F22,LANCL3,0,2,0.2
CCR3,CLC,0,2,0.2
SIK1,BEX2,2,2,0.2
IGHM,CST7,2,2,0.2
RSAD2,IFI27,1,2,0.2
FAM216B,AHDC1,0,2,0.2
DENND5B,CCR4,0,2,0.2
ARHGEF10,FAM167B,2,2,0.2
NR6A1,PLAU,2,2,0.2
EIF2AK2,SIGLEC1,0,2,0.2
VNN2,S100A12,0,2,0.2
VNN2,YEATS4,0,2,0.2
NTRK1,CTLA4,0,2,0.2
IL18RAP,S100A12,2,2,0.2
FAM167B,CRISPLD2,2,2,0.2
FAM185A,CTLA4,1,2,0.2
ARHGEF10,DYSF,2,2,0.2
GZMB,COL11A1,0,2,0.2
JCHAIN,PRF1,1,2,0.2
IL18R1,CHRNE,0,2,0.2
KCTD14,KCNMA1,0,2,0.2
ADAMTS14,NBL1,0,2,0.2
TRPM2,IL18RAP,0,2,0.2
S100A8,MMP10,0,2,0.2
KCNH7,FLT1,0,2,0.2
OAS1,U3,0,2,0.2
AREG,TP53I11,2,2,0.2
IFI44L,MX1,0,2,0.2
RSAD2,OASL,1,2,0.2
FBLN2,FZD4,0,2,0.2
BEX2,LGALS3BP,1,2,0.2
ANPEP,PML,1,2,0.2
HMGN3,CDKN1C,0,2,0.2
C1QA,OLFM4,1,2,0.2
NR6A1,NGFR,2,2,0.2
GBP7,LANCL3,1,2,0.2
EQTN,FADS3,0,2,0.2
IFI44,GZMB,0,2,0.2
APOL2,ARHGEF10,1,2,0.2
IFI44,RIGI,0,2,0.2
GLI1,TRPM2,2,2,0.2
BCL2L14,PAK3,0,2,0.2
APOL6,GBP7,0,2,0.2
SLC16A1,VNN2,2,2,0.2
ANPEP,EQTN,1,2,0.2
BCL2L14,EQTN,2,2,0.2
HSH2D,FIGLA,0,2,0.2
GZMB,RORA,0,2,0.2
NBL1,IGHM,2,2,0.2
SPDYA,EIF2AK2,1,2,0.2
FADS3,ARHGEF10,0,2,0.2
CLC,LAPTM4B,0,2,0.2
DYSF,ANPEP,0,2,0.2
CLC,IFI6,2,2,0.2
MT-ND2,DENND5B,0,2,0.2
DSCC1,MT-ND2,0,2,0.2
FLT1,IFI6,1,2,0.2
YEATS4,FADS3,0,2,0.2
IFI44,IFI6,0,2,0.2
CLDN7,GPR15,0,2,0.2
RSAD2,EIF2AK2,1,2,0.2
IL18RAP,ORM1,2,2,0.2
ARHGEF10,ADAMDEC1,2,2,0.2
TRDC,IFI44L,2,2,0.2
ADGRG3,ENTPD3,0,2,0.2
EREG,MT-ND2,0,2,0.2
TRDC,USP18,2,2,0.2
FAM185A,TRIM6,2,2,0.2
ENTPD3,KCNH7,0,2,0.2
CXCL6,CLC,2,2,0.2
JCHAIN,USP18,1,2,0.2
BCL2L14,RNU6-1188P,2,2,0.2
JCHAIN,COL11A1,1,2,0.2
CTLA4,FGFBP2,1,2,0.2
SLC16A1,FOSB,2,2,0.2
BEX2,IRF7,2,2,0.2
MMP9,ADAMTS14,0,2,0.2
IFIT3,OAS1,0,2,0.2
FGFBP2,CTLA4,0,2,0.2
KCTD14,MT-ND2,1,2,0.2
SIK1,EREG,0,2,0.2
HMGN3,LEPR,0,2,0.2
OASL,EIF2AK2,0,2,0.2
IL2RA,ENTPD3,1,2,0.2
SPDYA,CLC,0,2,0.2
CSGALNACT1,ADGRG3,0,2,0.2
DDX60,IFI6,0,2,0.2
IL18R1,MMP1,0,2,0.2
RORA,DENND5B,1,2,0.2
KCNH7,FAM167B,0,2,0.2
CTLA4,GLI1,1,2,0.2
MMP9,MMP1,0,2,0.2
MMP1,FIGLA,0,2,0.2
MMP9,CRISPLD2,0,2,0.2
ARHGEF10,PLAU,1,2,0.2
S100A9,VNN2,0,2,0.2
NBL1,YES1,2,2,0.2
ORM1,IL2RA,2,2,0.2
BEX2,ALPL,1,2,0.2
CPA3,PDZD4,0,2,0.2
TRIM6,TRPM2,1,2,0.2
IL18R1,CSGALNACT1,0,2,0.2
TRPM2,ANPEP,0,2,0.2
FGFBP2,RORA,0,2,0.2
NGFR,FBLN2,1,2,0.2
SPDYA,ARHGEF10,0,2,0.2
NTRK1,DDB1,1,2,0.2
CSGALNACT1,CLTCL1,0,2,0.2
MX1,ISG15,0,2,0.2
FAM185A,PRSS33,1,2,0.2
DENND5B,CPA3,0,2,0.2
MX1,OAS2,0,2,0.2
IFI44L,CLNK,0,2,0.2
ADAMDEC1,LEPR,0,2,0.2
NR6A1,EQTN,2,2,0.2
SIK1,KCNMA1,2,2,0.2
RORA,LGALS3BP,1,2,0.2
KCNH7,MARCO,0,2,0.2
NBL1,ADAMDEC1,1,2,0.2
MMP8,CHRNE,0,2,0.2
OAS3,PML,0,2,0.2
IGHM,CDKN1C,0,2,0.2
CLDN7,MT-ND2,0,2,0.2
IGHM,HERC5,2,2,0.2
DDB1,VNN2,2,2,0.2
GPR15,DSCC1,1,2,0.2
OAS1,IFIT3,0,2,0.2
IFIT2,PRF1,0,2,0.2
ADAMTS14,SLC16A1,2,2,0.2
IFI44,IFI27,0,2,0.2
DHX58,OASL,0,2,0.2
RORA,ANPEP,1,2,0.2
IFIT2,RIGI,0,2,0.2
FLT1,OAS1,1,2,0.2
SIGLEC1,NGFR,0,2,0.2
NBL1,MMP8,2,2,0.2
CPA3,EPX,0,2,0.2
TP53I11,LYPD8,0,2,0.2
RNU6-1188P,GBP7,2,2,0.2
RNU6-1188P,DSCC1,1,2,0.2
TRDC,COL11A1,2,2,0.2
CST7,CXCL6,0,2,0.2
GPR15,PDZD4,0,2,0.2
XAF1,GBP3,0,2,0.2
HSH2D,PGLYRP1,1,2,0.2
GPR15,MMP1,1,1,0.1
FADS3,YEATS4,0,1,0.1
GPR15,S100A12,1,1,0.1
LANCL3,KCTD14,1,1,0.1
VNN1,DLG5,0,1,0.1
IGHM,SIGLEC1,2,1,0.1
FAM185A,DHX58,2,1,0.1
MT-ND2,CCR4,0,1,0.1
NBL1,ALPL,2,1,0.1
FOSB,IL2RA,0,1,0.1
IRF7,LANCL3,1,1,0.1
C1QA,CLDN7,0,1,0.1
FLT1,EQTN,1,1,0.1
CST7,TRPM2,0,1,0.1
PLCD3,IL2RA,0,1,0.1
IRF7,IL18RAP,1,1,0.1
NGFR,KCNMA1,0,1,0.1
KCTD14,CXCL6,1,1,0.1
JCHAIN,IFIT2,1,1,0.1
CDKN1C,ARHGEF10,0,1,0.1
NBL1,C1QA,1,1,0.1
APOL2,EPX,0,1,0.1
TRIM6,CST7,1,1,0.1
C1QA,DENND5B,0,1,0.1
PAK3,CCR3,2,1,0.1
CDKN1C,HSH2D,1,1,0.1
MMP9,ENTPD3,0,1,0.1
PRSS33,ZNF423,0,1,0.1
VNN2,APOL6,1,1,0.1
